"","Selectivity Parameter","Estimate","SD","Fleet","Time block"
"38","Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_1983",38.0162,0.441589,"Midwater trawl","1983"
"39","Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_2002",37.3983,1.84162,"Midwater trawl","2002"
"40","Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1916",3.37013,0.285802,"Midwater trawl","1916"
"41","Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1983",3.08059,0.139167,"Midwater trawl","1983"
"42","Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_2002",2.79636,0.669847,"Midwater trawl","2002"
"43","Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1916",4.24163,0.967303,"Midwater trawl","1916"
"44","Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1983",3.05555,0.598705,"Midwater trawl","1983"
"45","Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_2002",-1.41747,10.4129,"Midwater trawl","2002"
"46","Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1916",-1.93352,3.01749,"Midwater trawl","1916"
"47","Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1983",-0.423958,0.332431,"Midwater trawl","1983"
"48","Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_2002",1.56277,1.8185,"Midwater trawl","2002"
"49","Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_1983",1.66015,0.138075,"Midwater trawl","1983"
"50","Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2002",1.8538,0.406992,"Midwater trawl","2002"
"51","Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2011",8.9466,0.20713,"Midwater trawl","2011"
"52","Size_DblN_peak_Hake(3)_BLK11repl_1916",42.7924,0.620885,"Hake","1916"
"53","Size_DblN_top_logit_Hake(3)_BLK11repl_1916",2.50445,167.727,"Hake","1916"
"54","Size_DblN_ascend_se_Hake(3)_BLK11repl_1916",3.72208,0.129149,"Hake","1916"
"55","Size_DblN_peak_HnL(5)_BLK5repl_1916",37.2194,2.01795,"Hook and Line","1916"
"56","Size_DblN_ascend_se_HnL(5)_BLK5repl_1916",3.74652,0.470362,"Hook and Line","1916"
