"replist5","replist16","replist21","replist29","replist38","replist46","replist49","replist52","replist53","replist58","replist65","replist73","replist79","Label","Yr","recdev"
0,0,0,0,0,0,0,0,0,0,0,0,0,"ForeRecr_2033",2033,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,"ForeRecr_2034",2034,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,"ForeRecr_2035",2035,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,"ForeRecr_2036",2036,TRUE
-5.98432,-5.98425,-5.98431,-5.98431,-5.98425,-5.98432,-5.98432,-5.98424,-5.98432,-5.98432,-5.98431,-5.98424,-5.98424,"LnQ_base_BottomTrawl(1)",NA,FALSE
0.163405,0.163397,0.163412,0.163412,0.163403,0.163402,0.163403,0.163399,0.163404,0.163403,0.163405,0.163395,0.163399,"Q_extraSD_BottomTrawl(1)",NA,FALSE
-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,-11.1104,"LnQ_base_Hake(3)",NA,FALSE
0.371214,0.371215,0.371214,0.371214,0.371216,0.371213,0.371213,0.371217,0.371213,0.371213,0.371213,0.371217,0.371217,"Q_extraSD_Hake(3)",NA,FALSE
-4.86544,-4.86428,-4.86543,-4.86543,-4.86426,-4.86543,-4.86543,-4.86425,-4.86545,-4.86543,-4.86543,-4.86426,-4.86425,"LnQ_base_JuvSurvey(6)",NA,FALSE
1.25016,1.25018,1.25016,1.25016,1.25018,1.25016,1.25016,1.25018,1.25016,1.25016,1.25016,1.25018,1.25018,"Q_extraSD_JuvSurvey(6)",NA,FALSE
-2.04351,-2.04359,-2.04357,-2.04357,-2.04356,-2.04352,-2.04352,-2.04354,-2.04352,-2.04352,-2.04353,-2.04354,-2.04353,"LnQ_base_Triennial(7)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Q_extraSD_Triennial(7)",NA,FALSE
-3.46902,-3.46943,-3.46903,-3.46903,-3.46942,-3.46902,-3.46902,-3.46941,-3.46902,-3.46902,-3.46902,-3.46941,-3.46941,"LnQ_base_WCGBTS(8)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Q_extraSD_WCGBTS(8)",NA,FALSE
-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,-11.4283,"LnQ_base_ForeignAtSea(9)",NA,FALSE
0.578495,0.578479,0.578488,0.578488,0.578486,0.57849,0.57849,0.578481,0.57849,0.57849,0.57849,0.578479,0.578483,"Q_extraSD_ForeignAtSea(9)",NA,FALSE
0.463516,0.463508,0.463522,0.463522,0.463501,0.463517,0.463517,0.463501,0.463517,0.463517,0.46352,0.463502,0.463501,"LnQ_base_Hake(3)_BLK10add_1991",1991,FALSE
0.153936,0.153878,0.153938,0.153938,0.153884,0.153935,0.153935,0.153882,0.153935,0.153935,0.153938,0.153882,0.153883,"LnQ_base_Triennial(7)_BLK9add_1995",1995,FALSE
43.4777,43.4747,43.4773,43.4773,43.4748,43.4776,43.4776,43.475,43.4776,43.4776,43.4776,43.475,43.475,"Size_DblN_peak_BottomTrawl(1)",NA,FALSE
2.49936,-1.78686,-1.78423,-1.78423,-1.78545,2.49977,2.52381,-1.78646,2.49962,2.52381,-1.78301,-1.82753,-1.78589,"Size_DblN_top_logit_BottomTrawl(1)",NA,FALSE
4.5979,4.59776,4.59785,4.59785,4.59777,4.59789,4.59789,4.5978,4.59789,4.59789,4.59789,4.5978,4.5978,"Size_DblN_ascend_se_BottomTrawl(1)",NA,FALSE
9,9,9,9,9,9,9,9,9,9,9,9,9,"Size_DblN_descend_se_BottomTrawl(1)",NA,FALSE
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"Size_DblN_start_logit_BottomTrawl(1)",NA,FALSE
8,8,8,8,8,8,8,8,8,8,8,8,8,"Size_DblN_end_logit_BottomTrawl(1)",NA,FALSE
3.66108,3.64987,3.65936,3.65936,3.65308,3.65872,3.6649,3.66859,3.66044,3.6649,3.66074,3.65102,3.6641,"Retain_L_infl_BottomTrawl(1)",NA,FALSE
0.94398,0.945261,0.944011,0.944011,0.944644,0.944076,0.944095,0.943569,0.944231,0.944095,0.94376,0.945719,0.944174,"Retain_L_width_BottomTrawl(1)",NA,FALSE
4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,4.59512,"Retain_L_asymptote_logit_BottomTrawl(1)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Retain_L_maleoffset_BottomTrawl(1)",NA,FALSE
36.9441,36.9438,36.9441,36.9441,36.9438,36.9441,36.9441,36.9438,36.9441,36.9441,36.9441,36.9438,36.9438,"Size_DblN_peak_MidwaterTrawl(2)",NA,FALSE
-9.42588,-9.42595,-9.42594,-9.42594,-9.42592,-9.42583,-9.42613,-9.42587,-9.42591,-9.42613,-9.42587,-9.42629,-9.42912,"Size_DblN_top_logit_MidwaterTrawl(2)",NA,FALSE
2.86139,2.86133,2.86138,2.86138,2.86133,2.86139,2.86139,2.86133,2.86139,2.86139,2.86139,2.86133,2.86133,"Size_DblN_ascend_se_MidwaterTrawl(2)",NA,FALSE
3.92943,3.92888,3.92943,3.92943,3.92888,3.92942,3.92942,3.92888,3.92943,3.92942,3.92943,3.92888,3.92888,"Size_DblN_descend_se_MidwaterTrawl(2)",NA,FALSE
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"Size_DblN_start_logit_MidwaterTrawl(2)",NA,FALSE
-1.30546,-1.30531,-1.3055,-1.3055,-1.3053,-1.30548,-1.30548,-1.3053,-1.30546,-1.30548,-1.30549,-1.3053,-1.3053,"Size_DblN_end_logit_MidwaterTrawl(2)",NA,FALSE
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,"Retain_L_infl_MidwaterTrawl(2)",NA,FALSE
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,"Retain_L_width_MidwaterTrawl(2)",NA,FALSE
5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,5.76562,"Retain_L_asymptote_logit_MidwaterTrawl(2)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Retain_L_maleoffset_MidwaterTrawl(2)",NA,FALSE
33.4741,33.4722,33.474,33.474,33.4722,33.474,33.474,33.4722,33.4741,33.474,33.474,33.4722,33.4722,"Size_DblN_peak_Hake(3)",NA,FALSE
2.49763,-1.94828,-1.95006,-1.95006,-1.94921,-1.94866,-1.95027,-1.95193,2.49899,-1.95027,-1.94996,-1.95342,-1.9421,"Size_DblN_top_logit_Hake(3)",NA,FALSE
2.07624,2.07541,2.07614,2.07614,2.07546,2.07615,2.07615,2.07545,2.07624,2.07615,2.07615,2.07544,2.07546,"Size_DblN_ascend_se_Hake(3)",NA,FALSE
9,9,9,9,9,9,9,9,9,9,9,9,9,"Size_DblN_descend_se_Hake(3)",NA,FALSE
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"Size_DblN_start_logit_Hake(3)",NA,FALSE
8,8,8,8,8,8,8,8,8,8,8,8,8,"Size_DblN_end_logit_Hake(3)",NA,FALSE
42.627,42.6264,42.627,42.627,42.6264,42.627,42.627,42.6264,42.627,42.627,42.627,42.6264,42.6264,"Size_DblN_peak_Net(4)",NA,FALSE
2.4957,2.50887,2.50161,2.50161,2.50824,2.50808,2.50083,2.46487,2.50787,2.50083,2.45447,2.42824,2.52194,"Size_DblN_top_logit_Net(4)",NA,FALSE
3.56173,3.56162,3.56172,3.56172,3.56162,3.56173,3.56173,3.56162,3.56173,3.56173,3.56172,3.56161,3.56162,"Size_DblN_ascend_se_Net(4)",NA,FALSE
9,9,9,9,9,9,9,9,9,9,9,9,9,"Size_DblN_descend_se_Net(4)",NA,FALSE
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"Size_DblN_start_logit_Net(4)",NA,FALSE
8,8,8,8,8,8,8,8,8,8,8,8,8,"Size_DblN_end_logit_Net(4)",NA,FALSE
23.5554,23.4175,23.5554,23.5554,23.4175,23.5554,23.5554,23.4175,23.5554,23.5554,23.5554,23.4175,23.4175,"Size_DblN_peak_HnL(5)",NA,FALSE
2.49422,2.50213,2.51332,2.51332,2.52255,2.50171,2.57258,2.54352,2.50177,2.57258,2.54134,2.46032,2.35745,"Size_DblN_top_logit_HnL(5)",NA,FALSE
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,"Size_DblN_ascend_se_HnL(5)",NA,FALSE
9,9,9,9,9,9,9,9,9,9,9,9,9,"Size_DblN_descend_se_HnL(5)",NA,FALSE
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"Size_DblN_start_logit_HnL(5)",NA,FALSE
8,8,8,8,8,8,8,8,8,8,8,8,8,"Size_DblN_end_logit_HnL(5)",NA,FALSE
15.2083,15.2161,15.2394,15.2394,15.1896,15.2059,15.205,15.1062,15.2057,15.205,15.2382,15.1808,15.4029,"Retain_L_infl_HnL(5)",NA,FALSE
2.82377,2.81937,2.81723,2.81723,2.82953,2.82411,2.82366,2.84555,2.82406,2.82366,2.82001,2.83977,2.78944,"Retain_L_width_HnL(5)",NA,FALSE
7.4241,7.42435,7.42597,7.42597,7.42552,7.42454,7.42993,7.42471,7.42451,7.42993,7.42909,7.45124,7.41052,"Retain_L_asymptote_logit_HnL(5)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"Retain_L_maleoffset_HnL(5)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"SizeSpline_Code_Triennial(7)",NA,FALSE
0.118718,0.118714,0.118722,0.118722,0.118712,0.118718,0.118718,0.11871,0.118719,0.118718,0.118718,0.118709,0.118709,"SizeSpline_GradLo_Triennial(7)",NA,FALSE
0.0395941,0.0395672,0.0395854,0.0395854,0.0395722,0.0395928,0.0395928,0.0395723,0.0395933,0.0395928,0.0395883,0.0395721,0.0395729,"SizeSpline_GradHi_Triennial(7)",NA,FALSE
24,24,24,24,24,24,24,24,24,24,24,24,24,"SizeSpline_Knot_1_Triennial(7)",NA,FALSE
34,34,34,34,34,34,34,34,34,34,34,34,34,"SizeSpline_Knot_2_Triennial(7)",NA,FALSE
48,48,48,48,48,48,48,48,48,48,48,48,48,"SizeSpline_Knot_3_Triennial(7)",NA,FALSE
-1.82335,-1.82326,-1.82337,-1.82337,-1.82325,-1.82335,-1.82335,-1.82324,-1.82335,-1.82335,-1.82335,-1.82324,-1.82324,"SizeSpline_Val_1_Triennial(7)",NA,FALSE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SizeSpline_Val_2_Triennial(7)",NA,FALSE
0.448693,0.448449,0.448653,0.448653,0.448465,0.448688,0.448687,0.448476,0.448689,0.448687,0.448674,0.448477,0.448479,"SizeSpline_Val_3_Triennial(7)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"SizeSpline_Code_WCGBTS(8)",NA,FALSE
0.46789,0.467731,0.467889,0.467889,0.46773,0.467889,0.467889,0.46773,0.46789,0.467889,0.467889,0.467731,0.46773,"SizeSpline_GradLo_WCGBTS(8)",NA,FALSE
-0.0999791,-0.1,-0.0999816,-0.0999816,-0.100001,-0.0999809,-0.0999809,-0.100001,-0.099979,-0.0999809,-0.0999817,-0.100001,-0.100001,"SizeSpline_GradHi_WCGBTS(8)",NA,FALSE
24,24,24,24,24,24,24,24,24,24,24,24,24,"SizeSpline_Knot_1_WCGBTS(8)",NA,FALSE
34,34,34,34,34,34,34,34,34,34,34,34,34,"SizeSpline_Knot_2_WCGBTS(8)",NA,FALSE
48,48,48,48,48,48,48,48,48,48,48,48,48,"SizeSpline_Knot_3_WCGBTS(8)",NA,FALSE
-2.23046,-2.22974,-2.23046,-2.23046,-2.22974,-2.23046,-2.23046,-2.22974,-2.23046,-2.23046,-2.23046,-2.22974,-2.22974,"SizeSpline_Val_1_WCGBTS(8)",NA,FALSE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SizeSpline_Val_2_WCGBTS(8)",NA,FALSE
-0.0890037,-0.0895608,-0.0890231,-0.0890231,-0.0895592,-0.0890192,-0.0890193,-0.0895607,-0.0890039,-0.0890193,-0.0890223,-0.0895608,-0.0895605,"SizeSpline_Val_3_WCGBTS(8)",NA,FALSE
1,1,1,1,1,1,1,1,1,1,1,1,1,"SizeSel_P1_ForeignAtSea(9)",NA,FALSE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SizeSel_P2_ForeignAtSea(9)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"minage@sel=1_JuvSurvey(6)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"maxage@sel=1_JuvSurvey(6)",NA,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,"minage@sel=1_WCGBTS(8)",NA,FALSE
40,40,40,40,40,40,40,40,40,40,40,40,40,"maxage@sel=1_WCGBTS(8)",NA,FALSE
38.9968,38.9965,38.9968,38.9968,38.9965,38.9968,38.9968,38.9965,38.9968,38.9968,38.9968,38.9965,38.9965,"Size_DblN_peak_BottomTrawl(1)_BLK4repl_1916",1916,FALSE
3.43288,3.43277,3.43288,3.43288,3.43278,3.43288,3.43288,3.43277,3.43288,3.43288,3.43288,3.43277,3.43277,"Size_DblN_ascend_se_BottomTrawl(1)_BLK4repl_1916",1916,FALSE
27.2074,27.2084,27.2076,27.2076,27.2083,27.2072,27.2073,27.208,27.2073,27.2073,27.2073,27.208,27.2081,"Retain_L_infl_BottomTrawl(1)_BLK2repl_1982",1982,FALSE
27.4931,27.4944,27.493,27.493,27.4945,27.4932,27.4932,27.4946,27.4931,27.4932,27.4931,27.4946,27.4946,"Retain_L_infl_BottomTrawl(1)_BLK2repl_1990",1990,FALSE
0.967558,0.967231,0.967603,0.967603,0.967287,0.967608,0.967592,0.967258,0.967573,0.967592,0.96759,0.967258,0.967259,"Retain_L_width_BottomTrawl(1)_BLK2repl_1982",1982,FALSE
1.82753,1.82743,1.82755,1.82755,1.82732,1.82752,1.82751,1.82724,1.82751,1.82751,1.82746,1.82723,1.82724,"Retain_L_width_BottomTrawl(1)_BLK2repl_1990",1990,FALSE
1.71029,1.71028,1.71029,1.71029,1.71027,1.71029,1.71029,1.71027,1.71029,1.71029,1.71029,1.71027,1.71027,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1982",1982,FALSE
0.763654,0.763756,0.763647,0.763647,0.763762,0.763653,0.763652,0.763765,0.763651,0.763652,0.763647,0.763763,0.763766,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1990",1990,FALSE
0.105119,0.105131,0.105118,0.105118,0.10513,0.10512,0.105119,0.105131,0.105119,0.105119,0.105118,0.105131,0.105131,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1998",1998,FALSE
38.6607,38.6608,38.6607,38.6607,38.6608,38.6607,38.6607,38.6608,38.6607,38.6607,38.6607,38.6608,38.6608,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
38.0012,38.0013,38.0012,38.0012,38.0013,38.0012,38.0012,38.0013,38.0012,38.0012,38.0012,38.0013,38.0013,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
37.3778,37.3779,37.3778,37.3778,37.3779,37.3778,37.3779,37.3779,37.3778,37.3779,37.3778,37.3779,37.3779,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
3.36762,3.36758,3.36761,3.36761,3.36758,3.36762,3.36762,3.36758,3.36762,3.36762,3.36762,3.36758,3.36759,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
3.07669,3.07673,3.0767,3.0767,3.07672,3.07669,3.07669,3.07671,3.07669,3.07669,3.0767,3.07671,3.07671,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
2.78975,2.78975,2.78974,2.78974,2.78975,2.78974,2.78977,2.78976,2.78975,2.78977,2.78974,2.78976,2.78974,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
4.25049,4.25008,4.25048,4.25048,4.25013,4.25048,4.25048,4.25012,4.25048,4.25048,4.25048,4.25011,4.25012,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
3.07426,3.0741,3.07423,3.07423,3.07421,3.07426,3.07426,3.07427,3.07427,3.07426,3.07428,3.07427,3.07426,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
-1.38574,-1.38584,-1.38553,-1.38553,-1.38563,-1.38558,-1.3867,-1.38627,-1.38594,-1.3867,-1.38554,-1.38641,-1.38549,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
-1.96973,-1.96887,-1.96971,-1.96971,-1.96906,-1.96971,-1.96971,-1.96905,-1.96971,-1.96971,-1.96974,-1.96902,-1.96906,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
-0.423664,-0.423868,-0.423677,-0.423677,-0.423905,-0.423668,-0.423669,-0.423929,-0.423665,-0.423669,-0.423695,-0.423932,-0.423927,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
1.63316,1.63207,1.63314,1.63314,1.63212,1.63315,1.63308,1.63209,1.63315,1.63308,1.63314,1.63208,1.63213,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_1916",1916,FALSE
1.65701,1.65702,1.65701,1.65701,1.65702,1.65701,1.65701,1.65702,1.65701,1.65701,1.65701,1.65702,1.65702,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_1983",1983,FALSE
1.85386,1.85387,1.85386,1.85386,1.85387,1.85387,1.85387,1.85387,1.85387,1.85387,1.85387,1.85386,1.85387,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2002",2002,FALSE
8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,8.94664,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2011",2011,FALSE
42.7246,42.7232,42.7246,42.7246,42.7232,42.7246,42.7246,42.7232,42.7246,42.7246,42.7246,42.7232,42.7232,"Size_DblN_peak_Hake(3)_BLK11repl_1916",1916,FALSE
2.50596,2.50671,2.51087,2.51087,2.52367,2.50297,2.49288,2.49058,2.50322,2.49288,2.46438,2.44002,2.56274,"Size_DblN_top_logit_Hake(3)_BLK11repl_1916",1916,FALSE
3.70848,3.7083,3.70847,3.70847,3.7083,3.70847,3.70847,3.7083,3.70847,3.70847,3.70847,3.7083,3.7083,"Size_DblN_ascend_se_Hake(3)_BLK11repl_1916",1916,FALSE
37.24,37.2392,37.24,37.24,37.2393,37.24,37.24,37.2392,37.24,37.24,37.24,37.2392,37.2393,"Size_DblN_peak_HnL(5)_BLK5repl_1916",1916,FALSE
3.75062,3.75052,3.75064,3.75064,3.75054,3.75063,3.75063,3.75054,3.75062,3.75063,3.75063,3.75054,3.75055,"Size_DblN_ascend_se_HnL(5)_BLK5repl_1916",1916,FALSE
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,"Retain_L_infl_HnL(5)_BLK3repl_1916",1916,FALSE
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,"Retain_L_width_HnL(5)_BLK3repl_1916",1916,FALSE
4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,4.5912,"Retain_L_asymptote_logit_HnL(5)_BLK3repl_1916",1916,FALSE
