"minLL","base","Label","Yr","recdev"
0.0451843,0.123081,"Early_RecrDev_1968",1968,TRUE
-0.0343506,-0.0191158,"Early_RecrDev_1969",1969,TRUE
1.31897,1.39033,"Main_RecrDev_1970",1970,TRUE
1.22362,1.19925,"Main_RecrDev_1971",1971,TRUE
-0.861379,-0.804195,"Main_RecrDev_1972",1972,TRUE
-0.975269,-0.966616,"Main_RecrDev_1973",1973,TRUE
-0.638774,-0.656618,"Main_RecrDev_1974",1974,TRUE
0.159427,0.0929247,"Main_RecrDev_1975",1975,TRUE
-1.04741,-1.04415,"Main_RecrDev_1976",1976,TRUE
0.737052,0.697876,"Main_RecrDev_1977",1977,TRUE
1.14786,1.11807,"Main_RecrDev_1978",1978,TRUE
-0.0253347,-0.0285514,"Main_RecrDev_1979",1979,TRUE
0.532197,0.526102,"Main_RecrDev_1980",1980,TRUE
1.0563,1.05007,"Main_RecrDev_1981",1981,TRUE
0.431317,0.430699,"Main_RecrDev_1982",1982,TRUE
-0.00427531,0.0109365,"Main_RecrDev_1983",1983,TRUE
0.679147,0.696752,"Main_RecrDev_1984",1984,TRUE
0.355782,0.380085,"Main_RecrDev_1985",1985,TRUE
-0.422397,-0.378056,"Main_RecrDev_1986",1986,TRUE
0.531367,0.558128,"Main_RecrDev_1987",1987,TRUE
0.0550262,0.104714,"Main_RecrDev_1988",1988,TRUE
-0.276033,-0.202746,"Main_RecrDev_1989",1989,TRUE
0.164359,0.24591,"Main_RecrDev_1990",1990,TRUE
0.736293,0.844342,"Main_RecrDev_1991",1991,TRUE
-0.278244,-0.135156,"Main_RecrDev_1992",1992,TRUE
-0.0713714,0.0968052,"Main_RecrDev_1993",1993,TRUE
-0.179466,0.00952003,"Main_RecrDev_1994",1994,TRUE
-0.665752,-0.457716,"Main_RecrDev_1995",1995,TRUE
-0.971436,-0.759012,"Main_RecrDev_1996",1996,TRUE
-0.533065,-0.332509,"Main_RecrDev_1997",1997,TRUE
0.109224,0.256303,"Main_RecrDev_1998",1998,TRUE
0.419645,0.536616,"Main_RecrDev_1999",1999,TRUE
0.256536,0.345471,"Main_RecrDev_2000",2000,TRUE
-0.304869,-0.248429,"Main_RecrDev_2001",2001,TRUE
-0.411442,-0.373562,"Main_RecrDev_2002",2002,TRUE
-0.467236,-0.415981,"Main_RecrDev_2003",2003,TRUE
0.795865,0.758211,"Main_RecrDev_2004",2004,TRUE
-0.8856,-0.902042,"Main_RecrDev_2005",2005,TRUE
0.599654,0.476109,"Main_RecrDev_2006",2006,TRUE
-0.892097,-0.924479,"Main_RecrDev_2007",2007,TRUE
1.58916,1.31069,"Main_RecrDev_2008",2008,TRUE
-0.420876,-0.725332,"Main_RecrDev_2009",2009,TRUE
1.2833,0.874325,"Main_RecrDev_2010",2010,TRUE
-0.894174,-1.03591,"Main_RecrDev_2011",2011,TRUE
-1.25137,-1.45385,"Main_RecrDev_2012",2012,TRUE
0.86648,0.722777,"Main_RecrDev_2013",2013,TRUE
0.0270536,-0.171024,"Main_RecrDev_2014",2014,TRUE
-0.27937,-0.432289,"Main_RecrDev_2015",2015,TRUE
1.47012,1.24888,"Main_RecrDev_2016",2016,TRUE
-0.0340003,-0.0326351,"Main_RecrDev_2017",2017,TRUE
-0.968099,-1.01412,"Main_RecrDev_2018",2018,TRUE
-1.39879,-1.27314,"Main_RecrDev_2019",2019,TRUE
-1.38763,-1.21377,"Main_RecrDev_2020",2020,TRUE
-0.686197,-0.478271,"Late_RecrDev_2021",2021,TRUE
-0.649469,-0.411531,"Late_RecrDev_2022",2022,TRUE
-0.247349,-0.0365446,"Late_RecrDev_2023",2023,TRUE
-0.208953,-0.189437,"Late_RecrDev_2024",2024,TRUE
0,0,"ForeRecr_2025",2025,TRUE
0,0,"ForeRecr_2026",2026,TRUE
0,0,"ForeRecr_2027",2027,TRUE
0,0,"ForeRecr_2028",2028,TRUE
0,0,"ForeRecr_2029",2029,TRUE
0,0,"ForeRecr_2030",2030,TRUE
0,0,"ForeRecr_2031",2031,TRUE
0,0,"ForeRecr_2032",2032,TRUE
0,0,"ForeRecr_2033",2033,TRUE
0,0,"ForeRecr_2034",2034,TRUE
0,0,"ForeRecr_2035",2035,TRUE
0,0,"ForeRecr_2036",2036,TRUE
-5.83078,-5.99265,"LnQ_base_BottomTrawl(1)",NA,FALSE
0.181947,0.164709,"Q_extraSD_BottomTrawl(1)",NA,FALSE
-10.9241,-11.115,"LnQ_base_Hake(3)",NA,FALSE
0.375359,0.371329,"Q_extraSD_Hake(3)",NA,FALSE
-1.34656,-1.63077,"LnQ_base_JuvSurvey(6)",NA,FALSE
1.5891,1.68438,"Q_extraSD_JuvSurvey(6)",NA,FALSE
-1.87049,-2.05578,"LnQ_base_Triennial(7)",NA,FALSE
0,0,"Q_extraSD_Triennial(7)",NA,FALSE
-3.00227,-3.13372,"LnQ_base_NWFSC(8)",NA,FALSE
0,0,"Q_extraSD_NWFSC(8)",NA,FALSE
-11.2934,-11.4342,"LnQ_base_ForeignAtSea(9)",NA,FALSE
0.585146,0.578051,"Q_extraSD_ForeignAtSea(9)",NA,FALSE
0.587664,0.467038,"LnQ_base_Hake(3)_BLK10add_1991",1991,FALSE
0.289762,0.160761,"LnQ_base_Triennial(7)_BLK9add_1995",1995,FALSE
58.952,43.4003,"Size_DblN_peak_BottomTrawl(1)",NA,FALSE
2.45861,2.49989,"Size_DblN_top_logit_BottomTrawl(1)",NA,FALSE
-3.58869,4.59188,"Size_DblN_ascend_se_BottomTrawl(1)",NA,FALSE
9,9,"Size_DblN_descend_se_BottomTrawl(1)",NA,FALSE
-9,-9,"Size_DblN_start_logit_BottomTrawl(1)",NA,FALSE
8,8,"Size_DblN_end_logit_BottomTrawl(1)",NA,FALSE
2.46774,3.59579,"Retain_L_infl_BottomTrawl(1)",NA,FALSE
0.591449,0.955466,"Retain_L_width_BottomTrawl(1)",NA,FALSE
4.59512,4.59512,"Retain_L_asymptote_logit_BottomTrawl(1)",NA,FALSE
0,0,"Retain_L_maleoffset_BottomTrawl(1)",NA,FALSE
36.6965,36.8672,"Size_DblN_peak_MidwaterTrawl(2)",NA,FALSE
-9.44108,-9.43225,"Size_DblN_top_logit_MidwaterTrawl(2)",NA,FALSE
2.85749,2.8688,"Size_DblN_ascend_se_MidwaterTrawl(2)",NA,FALSE
3.92037,3.91389,"Size_DblN_descend_se_MidwaterTrawl(2)",NA,FALSE
-9,-9,"Size_DblN_start_logit_MidwaterTrawl(2)",NA,FALSE
-1.16906,-1.34917,"Size_DblN_end_logit_MidwaterTrawl(2)",NA,FALSE
-5,-5,"Retain_L_infl_MidwaterTrawl(2)",NA,FALSE
1.2,1.2,"Retain_L_width_MidwaterTrawl(2)",NA,FALSE
5.76562,5.76562,"Retain_L_asymptote_logit_MidwaterTrawl(2)",NA,FALSE
0,0,"Retain_L_maleoffset_MidwaterTrawl(2)",NA,FALSE
32.8562,33.5212,"Size_DblN_peak_Hake(3)",NA,FALSE
-2.21086,2.49787,"Size_DblN_top_logit_Hake(3)",NA,FALSE
1.83496,2.09924,"Size_DblN_ascend_se_Hake(3)",NA,FALSE
9,9,"Size_DblN_descend_se_Hake(3)",NA,FALSE
