year,month,fleet,sex,partition,input_n,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,f28,f30,f32,f34,f36,f38,f40,f42,f44,f46,f48,f50,f52,f54,f56,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56
1976,7,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,12,11,10,3,3,3,0,0,0
1977,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,7,6,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4,3,1,0,0,0,0,0,0
1978,7,3,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,2,7,31,47,86,81,52,25,32,26,13,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,44,85,101,52,37,14,9,2,2,0,0
1979,7,3,3,0,163,0,0,0,0,0,0,0,0,0,0,1,8,21,30,25,47,121,154,104,58,34,26,10,1,4,0,0,0,0,0,0,0,0,0,0,1,4,31,25,38,134,281,171,88,23,4,4,0,0,1
1980,7,3,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,29,41,58,36,29,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,62,73,44,24,4,2,0,0,0
1981,7,3,3,0,74,0,0,0,0,0,0,0,0,0,0,1,1,4,2,8,19,35,47,66,87,89,54,14,7,2,0,0,0,0,0,0,0,0,0,1,0,2,12,4,22,71,203,217,102,30,12,2,2,2,0
1982,7,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,16,22,15,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,21,29,12,4,0,0,0,0
1983,7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,6,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,6,6,3,0,2,0,0
1984,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0
1985,7,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
