"year","seas","fleet","catch","catch_se"
2001,1,2,1689.95541510434,0.01
2002,1,2,251.385665855377,0.01
2003,1,2,9.64301287744681,0.01
2004,1,2,28.7149811624749,0.01
2005,1,2,32.84981004,0.01
2006,1,2,12.8371948983296,0.01
2007,1,2,1.5500254968144,0.01
2008,1,2,42.1523277846047,0.01
2009,1,2,36.4429060041445,0.01
2010,1,2,54.7347185806573,0.01
2011,1,2,43.8873303476804,0.01
2012,1,2,48.6601922490085,0.01
2013,1,2,241.066557447771,0.01
2014,1,2,306.620959022602,0.01
2015,1,2,479.2,0.01
2016,1,2,588,0.01
2017,1,2,4852.1,0.01
2018,1,2,9374.3,0.01
2019,1,2,8157.91616180915,0.01
2020,1,2,7532.16781094722,0.01
2021,1,2,10141.3395236247,0.01
2022,1,2,10839.8353199434,0.01
2023,1,2,10228.0290797833,0.01
2024,1,2,9160.79121149874,0.01
-999,1,3,0,0.01
1916,1,3,0,0.01
1917,1,3,0,0.01
1918,1,3,0,0.01
1919,1,3,0,0.01
1920,1,3,0,0.01
1921,1,3,0,0.01
1922,1,3,0,0.01
1923,1,3,0,0.01
1924,1,3,0,0.01
1925,1,3,0,0.01
1926,1,3,0,0.01
1927,1,3,0,0.01
1928,1,3,0,0.01
1929,1,3,0,0.01
1930,1,3,0,0.01
1931,1,3,0,0.01
1932,1,3,0,0.01
1933,1,3,0,0.01
1934,1,3,0,0.01
1935,1,3,0,0.01
1936,1,3,0,0.01
1937,1,3,0,0.01
1938,1,3,0,0.01
1939,1,3,0,0.01
1940,1,3,0,0.01
1941,1,3,0,0.01
1942,1,3,0,0.01
1943,1,3,0,0.01
1944,1,3,0,0.01
1945,1,3,0,0.01
1946,1,3,0,0.01
1947,1,3,0,0.01
1948,1,3,0,0.01
1949,1,3,0,0.01
1950,1,3,0,0.01
1951,1,3,0,0.01
1952,1,3,0,0.01
1953,1,3,0,0.01
1954,1,3,0,0.01
1955,1,3,0,0.01
1956,1,3,0,0.01
1957,1,3,0,0.01
1958,1,3,0,0.01
1959,1,3,0,0.01
1960,1,3,0,0.01
1961,1,3,0,0.01
1962,1,3,0,0.01
1963,1,3,0,0.01
1964,1,3,0,0.01
1965,1,3,0,0.01
1966,1,3,3670,0.01
1967,1,3,3902,0.01
1968,1,3,1956,0.01
1969,1,3,358,0.01
1970,1,3,554,0.01
1971,1,3,701,0.01
1972,1,3,421,0.01
1973,1,3,656,0.01
1974,1,3,418,0.01
1975,1,3,391.16,0.01
1976,1,3,718.52,0.01
1977,1,3,119.34,0.01
1978,1,3,191.88,0.01
1979,1,3,197.9,0.01
1980,1,3,272,0.01
1981,1,3,227.95,0.01
1982,1,3,157.51,0.01
1983,1,3,131.46,0.01
1984,1,3,294.74,0.01
1985,1,3,182.61,0.01
1986,1,3,256.77,0.01
1987,1,3,181.31,0.01
1988,1,3,231.61,0.01
1989,1,3,211.96,0.01
1990,1,3,230.18,0.01
1991,1,3,562.909380313741,0.01
1992,1,3,451.818135098118,0.01
1993,1,3,276.363030784443,0.01
1994,1,3,612.279432253726,0.01
1995,1,3,464.853131118997,0.01
1996,1,3,837.844341072563,0.01
1997,1,3,378.818690320918,0.01
1998,1,3,615.008647461205,0.01
1999,1,3,386.146450151654,0.01
2000,1,3,288.670012901318,0.01
2001,1,3,218.635498906092,0.01
2002,1,3,159.979664418019,0.01
2003,1,3,27.0866515307801,0.01
2004,1,3,49.5600159568562,0.01
2005,1,3,158.004689005217,0.01
2006,1,3,193.103438700111,0.01
2007,1,3,228.391800075097,0.01
2008,1,3,217.966766815711,0.01
2009,1,3,135.337559502869,0.01
2010,1,3,106.374782826291,0.01
2011,1,3,149.654537834278,0.01
2012,1,3,181.965741866459,0.01
2013,1,3,176.391297198768,0.01
2014,1,3,342.160734091928,0.01
2015,1,3,386.2,0.01
