"year","state","fleet","sector","landings_mt"
1975,"California","net",NA,0
1975,"Oregon","bottom trawl",NA,9
1975,"Oregon","hake","shoreside",0
1975,"Oregon","hook and line",NA,1.6
1975,"Oregon","midwater trawl",NA,0
1975,"Oregon","net",NA,0
1975,"Washington","bottom trawl",NA,12
1975,"Washington","hake","shoreside",0
1975,"Washington","hook and line",NA,0
1975,"Washington","midwater trawl",NA,0
1975,"Washington","net",NA,0
1976,NA,"hake","at-sea",718.5
1976,"California","bottom trawl",NA,467.3
1976,"California","hake","shoreside",0
1976,"California","hook and line",NA,39.5
1976,"California","midwater trawl",NA,0
1976,"California","net",NA,0
1976,"Oregon","bottom trawl",NA,56
1976,"Oregon","hake","shoreside",0
1976,"Oregon","hook and line",NA,2.2
1976,"Oregon","midwater trawl",NA,0
1976,"Oregon","net",NA,0
1976,"Washington","bottom trawl",NA,36.2
1976,"Washington","hake","shoreside",0
1976,"Washington","hook and line",NA,0
1976,"Washington","midwater trawl",NA,0
1976,"Washington","net",NA,0
1977,NA,"hake","at-sea",119.3
1977,"California","bottom trawl",NA,459
1977,"California","hake","shoreside",0
1977,"California","hook and line",NA,38.1
1977,"California","midwater trawl",NA,0
1977,"California","net",NA,0
1977,"Oregon","bottom trawl",NA,340
1977,"Oregon","hake","shoreside",0
1977,"Oregon","hook and line",NA,2.6
1977,"Oregon","midwater trawl",NA,0
1977,"Oregon","net",NA,0
1977,"Washington","bottom trawl",NA,125.8
1977,"Washington","hake","shoreside",0
1977,"Washington","hook and line",NA,0
1977,"Washington","midwater trawl",NA,0
1977,"Washington","net",NA,0
1978,NA,"hake","at-sea",191.9
1978,"California","bottom trawl",NA,538.9
1978,"California","hake","shoreside",0
1978,"California","hook and line",NA,157.4
1978,"California","midwater trawl",NA,0
1978,"California","net",NA,0
1978,"Oregon","bottom trawl",NA,340.1
1978,"Oregon","hake","shoreside",0
1978,"Oregon","hook and line",NA,3.8
1978,"Oregon","midwater trawl",NA,0
1978,"Oregon","net",NA,0
1978,"Washington","bottom trawl",NA,336.7
1978,"Washington","hake","shoreside",0
1978,"Washington","hook and line",NA,0
1978,"Washington","midwater trawl",NA,0
1978,"Washington","net",NA,0
1979,NA,"hake","at-sea",197.9
1979,"California","bottom trawl",NA,916.862055866202
1979,"California","hake","shoreside",0
1979,"California","hook and line",NA,97.1
1979,"California","midwater trawl",NA,1398.5379441338
1979,"California","net",NA,0
1979,"Oregon","bottom trawl",NA,519.4
1979,"Oregon","hake","shoreside",0
1979,"Oregon","hook and line",NA,6.4
1979,"Oregon","midwater trawl",NA,3746
1979,"Oregon","net",NA,0
1979,"Washington","bottom trawl",NA,305
1979,"Washington","hake","shoreside",0
1979,"Washington","hook and line",NA,0
1979,"Washington","midwater trawl",NA,2199.8
1979,"Washington","net",NA,0
1980,NA,"hake","at-sea",272
1980,"California","bottom trawl",NA,2109.1707931095
1980,"California","hake","shoreside",0
1980,"California","hook and line",NA,55.9
1980,"California","midwater trawl",NA,3217.2292068905
1980,"California","net",NA,0
1980,"Oregon","bottom trawl",NA,410.8
1980,"Oregon","hake","shoreside",0
1980,"Oregon","hook and line",NA,3.7
1980,"Oregon","midwater trawl",NA,8460.7
1980,"Oregon","net",NA,0
1980,"Washington","bottom trawl",NA,338.4
1980,"Washington","hake","shoreside",0
1980,"Washington","hook and line",NA,0
1980,"Washington","midwater trawl",NA,6969.4
1980,"Washington","net",NA,3.4
1981,NA,"hake","at-sea",227.9
1981,"California","bottom trawl",NA,2660.2
1981,"California","hake","shoreside",0
1981,"California","hook and line",NA,67.5
1981,"California","midwater trawl",NA,2627.4
1981,"California","net",NA,15.5
1981,"Oregon","bottom trawl",NA,1527.1
1981,"Oregon","hake","shoreside",0
1981,"Oregon","hook and line",NA,4
1981,"Oregon","midwater trawl",NA,13861.9
1981,"Oregon","net",NA,0
1981,"Washington","bottom trawl",NA,681.2
1981,"Washington","hake","shoreside",0
1981,"Washington","hook and line",NA,0
1981,"Washington","midwater trawl",NA,6183.5
1981,"Washington","net",NA,3.2
1982,NA,"hake","at-sea",157.5
1982,"California","bottom trawl",NA,3656.7
1982,"California","hake","shoreside",0
1982,"California","hook and line",NA,180.6
1982,"California","midwater trawl",NA,7008.1
1982,"California","net",NA,38.1
1982,"Oregon","bottom trawl",NA,782.8
1982,"Oregon","hake","shoreside",0
1982,"Oregon","hook and line",NA,5.9
1982,"Oregon","midwater trawl",NA,8184.4
1982,"Oregon","net",NA,0
1982,"Washington","bottom trawl",NA,522
1982,"Washington","hake","shoreside",0
1982,"Washington","hook and line",NA,0
1982,"Washington","midwater trawl",NA,5458
1982,"Washington","net",NA,37.1
1983,NA,"hake","at-sea",131.5
1983,"California","bottom trawl",NA,3667.1
1983,"California","hake","shoreside",0
1983,"California","hook and line",NA,23.5
1983,"California","midwater trawl",NA,205.1
1983,"California","net",NA,280
1983,"Oregon","bottom trawl",NA,1403.6
1983,"Oregon","hake","shoreside",0
1983,"Oregon","hook and line",NA,10.2
1983,"Oregon","midwater trawl",NA,1495.6
1983,"Oregon","net",NA,0
1983,"Washington","bottom trawl",NA,1554.6
1983,"Washington","hake","shoreside",0
1983,"Washington","hook and line",NA,0
1983,"Washington","midwater trawl",NA,1656.5
1983,"Washington","net",NA,14.5
1984,NA,"hake","at-sea",294.7
1984,"California","bottom trawl",NA,1434.6
1984,"California","hake","shoreside",0
1984,"California","hook and line",NA,22.8
1984,"California","midwater trawl",NA,1378.6
1984,"California","net",NA,324.8
1984,"Oregon","bottom trawl",NA,1428.5
1984,"Oregon","hake","shoreside",0
1984,"Oregon","hook and line",NA,3.8
1984,"Oregon","midwater trawl",NA,3982.8
1984,"Oregon","net",NA,0
1984,"Washington","bottom trawl",NA,381.8
1984,"Washington","hake","shoreside",0
1984,"Washington","hook and line",NA,0
1984,"Washington","midwater trawl",NA,1064.6
1984,"Washington","net",NA,26.6
1985,NA,"hake","at-sea",182.6
1985,"California","bottom trawl",NA,1363
1985,"California","hake","shoreside",0
1985,"California","hook and line",NA,26.1
1985,"California","midwater trawl",NA,1281.6
1985,"California","net",NA,585.8
1985,"Oregon","bottom trawl",NA,895.1
1985,"Oregon","hake","shoreside",0
1985,"Oregon","hook and line",NA,1.1
1985,"Oregon","midwater trawl",NA,3423.4
1985,"Oregon","net",NA,0
1985,"Washington","bottom trawl",NA,317.6
1985,"Washington","hake","shoreside",0
1985,"Washington","hook and line",NA,0
1985,"Washington","midwater trawl",NA,1214.6
1985,"Washington","net",NA,40.2
1986,NA,"hake","at-sea",256.8
1986,"California","bottom trawl",NA,1640.4
1986,"California","hake","shoreside",0
1986,"California","hook and line",NA,81.5
1986,"California","midwater trawl",NA,362.2
1986,"California","net",NA,500.8
1986,"Oregon","bottom trawl",NA,1230.1
1986,"Oregon","hake","shoreside",0
1986,"Oregon","hook and line",NA,1.9
1986,"Oregon","midwater trawl",NA,3150.5
1986,"Oregon","net",NA,0
1986,"Washington","bottom trawl",NA,716.1
1986,"Washington","hake","shoreside",0
1986,"Washington","hook and line",NA,0
1986,"Washington","midwater trawl",NA,1834.1
1986,"Washington","net",NA,0
1987,NA,"hake","at-sea",181.3
1987,"California","bottom trawl",NA,2261.1
1987,"California","hake","shoreside",0
1987,"California","hook and line",NA,52.4
1987,"California","midwater trawl",NA,0
1987,"California","net",NA,584.6
1987,"Oregon","bottom trawl",NA,1185.5
1987,"Oregon","hake","shoreside",0
1987,"Oregon","hook and line",NA,2.7
1987,"Oregon","midwater trawl",NA,5114.5
1987,"Oregon","net",NA,0
1987,"Washington","bottom trawl",NA,698.4
1987,"Washington","hake","shoreside",0
1987,"Washington","hook and line",NA,0
1987,"Washington","midwater trawl",NA,3013.1
1987,"Washington","net",NA,0
1988,NA,"hake","at-sea",231.6
1988,"California","bottom trawl",NA,1585.3
1988,"California","hake","shoreside",0
1988,"California","hook and line",NA,72.3
1988,"California","midwater trawl",NA,0
1988,"California","net",NA,220.7
1988,"Oregon","bottom trawl",NA,1152.8
1988,"Oregon","hake","shoreside",0
1988,"Oregon","hook and line",NA,1
1988,"Oregon","midwater trawl",NA,4305.6
1988,"Oregon","net",NA,0
1988,"Washington","bottom trawl",NA,1290.3
1988,"Washington","hake","shoreside",0
1988,"Washington","hook and line",NA,0.2
1988,"Washington","midwater trawl",NA,1785
1988,"Washington","net",NA,0
1989,NA,"hake","at-sea",212
1989,"California","bottom trawl",NA,1838.3
1989,"California","hake","shoreside",0
1989,"California","hook and line",NA,44.7
1989,"California","midwater trawl",NA,0
1989,"California","net",NA,253.6
1989,"Oregon","bottom trawl",NA,2027.5
1989,"Oregon","hake","shoreside",0
1989,"Oregon","hook and line",NA,0.4
1989,"Oregon","midwater trawl",NA,4957.7
1989,"Oregon","net",NA,0
1989,"Washington","bottom trawl",NA,647.7
1989,"Washington","hake","shoreside",0
1989,"Washington","hook and line",NA,0
1989,"Washington","midwater trawl",NA,2726.9
1989,"Washington","net",NA,0.1
1990,NA,"hake","at-sea",230.2
1990,"California","bottom trawl",NA,1812.7
1990,"California","hake","shoreside",0
1990,"California","hook and line",NA,126.9
1990,"California","midwater trawl",NA,0
1990,"California","net",NA,411.2
1990,"Oregon","bottom trawl",NA,2289.3
1990,"Oregon","hake","shoreside",0
1990,"Oregon","hook and line",NA,7.3
1990,"Oregon","midwater trawl",NA,3352.8
1990,"Oregon","net",NA,0
1990,"Washington","bottom trawl",NA,1210.4
1990,"Washington","hake","shoreside",0
1990,"Washington","hook and line",NA,0.2
1990,"Washington","midwater trawl",NA,1021.1
1990,"Washington","net",NA,0
1991,NA,"hake","at-sea",471.3
1991,"California","bottom trawl",NA,996.4
1991,"California","hake","shoreside",42.7
1991,"California","hook and line",NA,89.7
1991,"California","midwater trawl",NA,0
1991,"California","net",NA,234.8
1991,"Oregon","bottom trawl",NA,1989.2
1991,"Oregon","hake","shoreside",39
1991,"Oregon","hook and line",NA,5.2
1991,"Oregon","midwater trawl",NA,1779.9
1991,"Oregon","net",NA,0
1991,"Washington","bottom trawl",NA,878.9
1991,"Washington","hake","shoreside",9.3
1991,"Washington","hook and line",NA,0.3
1991,"Washington","midwater trawl",NA,260.2
1991,"Washington","net",NA,0
1992,NA,"hake","at-sea",389.6
1992,"California","bottom trawl",NA,917.4
1992,"California","hake","shoreside",13.5
1992,"California","hook and line",NA,165.8
1992,"California","midwater trawl",NA,0
1992,"California","net",NA,45.4
1992,"Oregon","bottom trawl",NA,2709.5
1992,"Oregon","hake","shoreside",42.1
1992,"Oregon","hook and line",NA,9.2
1992,"Oregon","midwater trawl",NA,1183.8
1992,"Oregon","net",NA,0
1992,"Washington","bottom trawl",NA,646.5
1992,"Washington","hake","shoreside",6.2
1992,"Washington","hook and line",NA,0.5
1992,"Washington","midwater trawl",NA,282.5
1992,"Washington","net",NA,0
1993,NA,"hake","at-sea",173.2
1993,"California","bottom trawl",NA,1088.3
1993,"California","hake","shoreside",0.4
1993,"California","hook and line",NA,63.7
1993,"California","midwater trawl",NA,1.2
1993,"California","net",NA,51.6
1993,"Oregon","bottom trawl",NA,3457
1993,"Oregon","hake","shoreside",91.2
1993,"Oregon","hook and line",NA,44.7
1993,"Oregon","midwater trawl",NA,1706.8
1993,"Oregon","net",NA,0
1993,"Washington","bottom trawl",NA,1109.8
1993,"Washington","hake","shoreside",11
1993,"Washington","hook and line",NA,0.5
1993,"Washington","midwater trawl",NA,547.9
1993,"Washington","net",NA,0
1994,NA,"hake","at-sea",370.7
1994,"California","bottom trawl",NA,557.9
1994,"California","hake","shoreside",2.1
1994,"California","hook and line",NA,71.7
1994,"California","midwater trawl",NA,210
1994,"California","net",NA,58.4
1994,"Oregon","bottom trawl",NA,2600.7
1994,"Oregon","hake","shoreside",210.8
1994,"Oregon","hook and line",NA,9.6
1994,"Oregon","midwater trawl",NA,1564.4
1994,"Oregon","net",NA,0
1994,"Washington","bottom trawl",NA,644.1
1994,"Washington","hake","shoreside",28.6
1994,"Washington","hook and line",NA,0.4
1994,"Washington","midwater trawl",NA,387.5
1994,"Washington","net",NA,0
1995,NA,"hake","at-sea",228.6
1995,"California","bottom trawl",NA,1361.1
1995,"California","hake","shoreside",7.2
1995,"California","hook and line",NA,19
1995,"California","midwater trawl",NA,292.7
1995,"California","net",NA,57.6
1995,"Oregon","bottom trawl",NA,2386.7
1995,"Oregon","hake","shoreside",192.1
1995,"Oregon","hook and line",NA,7.2
1995,"Oregon","midwater trawl",NA,1283.4
1995,"Oregon","net",NA,0
1995,"Washington","bottom trawl",NA,339
1995,"Washington","hake","shoreside",36.8
1995,"Washington","hook and line",NA,0.1
1995,"Washington","midwater trawl",NA,700.7
1995,"Washington","net",NA,0
1996,NA,"hake","at-sea",252.2
1996,"California","bottom trawl",NA,1056.8
1996,"California","hake","shoreside",5.7
1996,"California","hook and line",NA,21.6
1996,"California","midwater trawl",NA,238.8
1996,"California","net",NA,16.1
1996,"Oregon","bottom trawl",NA,2292.1
1996,"Oregon","hake","shoreside",475.1
1996,"Oregon","hook and line",NA,11
1996,"Oregon","midwater trawl",NA,998.2
1996,"Oregon","net",NA,0
1996,"Washington","bottom trawl",NA,237.9
1996,"Washington","hake","shoreside",104.7
1996,"Washington","hook and line",NA,0.1
1996,"Washington","midwater trawl",NA,609.4
1996,"Washington","net",NA,0
1997,NA,"hake","at-sea",215.5
1997,"California","bottom trawl",NA,1032.5
1997,"California","hake","shoreside",7.2
1997,"California","hook and line",NA,22.4
1997,"California","midwater trawl",NA,253.6
1997,"California","net",NA,16.4
1997,"Oregon","bottom trawl",NA,2502.8
1997,"Oregon","hake","shoreside",133.9
1997,"Oregon","hook and line",NA,15.6
1997,"Oregon","midwater trawl",NA,1453.1
1997,"Oregon","net",NA,0
1997,"Washington","bottom trawl",NA,241.7
1997,"Washington","hake","shoreside",22.1
1997,"Washington","hook and line",NA,0
1997,"Washington","midwater trawl",NA,735.8
1997,"Washington","net",NA,0
1998,NA,"hake","at-sea",268.5
1998,"California","bottom trawl",NA,686.2
1998,"California","hake","shoreside",40.4
1998,"California","hook and line",NA,62.4
1998,"California","midwater trawl",NA,81.6
1998,"California","net",NA,48.7
1998,"Oregon","bottom trawl",NA,1641.1
1998,"Oregon","hake","shoreside",278
1998,"Oregon","hook and line",NA,24.1
1998,"Oregon","midwater trawl",NA,493.4
1998,"Oregon","net",NA,0
1998,"Washington","bottom trawl",NA,188.4
1998,"Washington","hake","shoreside",28.1
1998,"Washington","hook and line",NA,0
1998,"Washington","midwater trawl",NA,307.8
1998,"Washington","net",NA,0
1999,NA,"hake","at-sea",191.8
1999,"California","bottom trawl",NA,485
1999,"California","hake","shoreside",12.7
1999,"California","hook and line",NA,29
1999,"California","midwater trawl",NA,100.1
1999,"California","net",NA,10
1999,"Oregon","bottom trawl",NA,945
1999,"Oregon","hake","shoreside",166.4
1999,"Oregon","hook and line",NA,14.7
1999,"Oregon","midwater trawl",NA,1634.2
1999,"Oregon","net",NA,0
1999,"Washington","bottom trawl",NA,182.7
1999,"Washington","hake","shoreside",15.2
1999,"Washington","hook and line",NA,0.1
1999,"Washington","midwater trawl",NA,315.9
1999,"Washington","net",NA,0
2000,NA,"hake","at-sea",205.4
2000,"California","bottom trawl",NA,34.2
2000,"California","hake","shoreside",7.7
2000,"California","hook and line",NA,11.9
2000,"California","midwater trawl",NA,680.8
2000,"California","net",NA,6.8
2000,"Oregon","bottom trawl",NA,19.6
2000,"Oregon","hake","shoreside",70.9
2000,"Oregon","hook and line",NA,2.5
2000,"Oregon","midwater trawl",NA,2604.8
2000,"Oregon","net",NA,0
2000,"Washington","bottom trawl",NA,2.9
2000,"Washington","hake","shoreside",4.7
2000,"Washington","hook and line",NA,0
2000,"Washington","midwater trawl",NA,379.4
2000,"Washington","net",NA,0
2001,NA,"hake","at-sea",174
2001,"California","bottom trawl",NA,9.3
2001,"California","hake","shoreside",9.2
2001,"California","hook and line",NA,6.4
2001,"California","midwater trawl",NA,310.3
2001,"California","net",NA,7
2001,"Oregon","bottom trawl",NA,28.8
2001,"Oregon","hake","shoreside",26.4
2001,"Oregon","hook and line",NA,0.7
2001,"Oregon","midwater trawl",NA,1092.4
2001,"Oregon","net",NA,0
2001,"Washington","bottom trawl",NA,1
2001,"Washington","hake","shoreside",9
2001,"Washington","hook and line",NA,0
2001,"Washington","midwater trawl",NA,287.1
2001,"Washington","net",NA,0
2002,NA,"hake","at-sea",154.9
2002,"California","bottom trawl",NA,8.7
2002,"California","hake","shoreside",1.2
2002,"California","hook and line",NA,0.4
2002,"California","midwater trawl",NA,40
2002,"California","net",NA,0
2002,"Oregon","bottom trawl",NA,6
2002,"Oregon","hake","shoreside",2.6
2002,"Oregon","hook and line",NA,0.1
2002,"Oregon","midwater trawl",NA,151.7
2002,"Oregon","net",NA,0
2002,"Washington","bottom trawl",NA,2.4
2002,"Washington","hake","shoreside",1.4
2002,"Washington","hook and line",NA,0
2002,"Washington","midwater trawl",NA,59.8
2002,"Washington","net",NA,0
2003,NA,"hake","at-sea",14.5
2003,"California","bottom trawl",NA,3.1
2003,"California","hake","shoreside",0.4
2003,"California","hook and line",NA,0.3
2003,"California","midwater trawl",NA,0.4
2003,"California","net",NA,0.4
2003,"Oregon","bottom trawl",NA,0.3
2003,"Oregon","hake","shoreside",7.6
2003,"Oregon","hook and line",NA,0.6
2003,"Oregon","midwater trawl",NA,0
2003,"Oregon","net",NA,0
2003,"Washington","bottom trawl",NA,0.2
2003,"Washington","hake","shoreside",4.6
2003,"Washington","hook and line",NA,0
2003,"Washington","midwater trawl",NA,9.3
2003,"Washington","net",NA,0
2004,NA,"hake","at-sea",21.2
2004,"California","bottom trawl",NA,5.9
2004,"California","hake","shoreside",7.4
2004,"California","hook and line",NA,0.2
2004,"California","midwater trawl",NA,7.5
2004,"California","net",NA,0
2004,"Oregon","bottom trawl",NA,2.4
2004,"Oregon","hake","shoreside",12.4
2004,"Oregon","hook and line",NA,0.1
2004,"Oregon","midwater trawl",NA,0
2004,"Oregon","net",NA,0
2004,"Washington","bottom trawl",NA,0.1
2004,"Washington","hake","shoreside",8.5
2004,"Washington","hook and line",NA,0
2004,"Washington","midwater trawl",NA,21.3
2004,"Washington","net",NA,0
2005,NA,"hake","at-sea",80.1
2005,"California","bottom trawl",NA,2.7
2005,"California","hake","shoreside",5.2
2005,"California","hook and line",NA,0.4
2005,"California","midwater trawl",NA,5.2
2005,"California","net",NA,0.1
2005,"Oregon","bottom trawl",NA,0.2
2005,"Oregon","hake","shoreside",59.1
2005,"Oregon","hook and line",NA,0.8
2005,"Oregon","midwater trawl",NA,0
2005,"Oregon","net",NA,0
2005,"Washington","bottom trawl",NA,0.2
2005,"Washington","hake","shoreside",13.6
2005,"Washington","hook and line",NA,0.1
2005,"Washington","midwater trawl",NA,27.6
2005,"Washington","net",NA,0
2006,NA,"hake","at-sea",143
2006,"California","bottom trawl",NA,3.8
2006,"California","hake","shoreside",3.6
2006,"California","hook and line",NA,0.8
2006,"California","midwater trawl",NA,3.6
2006,"California","net",NA,0
2006,"Oregon","bottom trawl",NA,2
2006,"Oregon","hake","shoreside",11.3
2006,"Oregon","hook and line",NA,0
2006,"Oregon","midwater trawl",NA,0
2006,"Oregon","net",NA,0
2006,"Washington","bottom trawl",NA,0.3
2006,"Washington","hake","shoreside",35.3
2006,"Washington","hook and line",NA,0
2006,"Washington","midwater trawl",NA,9.3
2006,"Washington","net",NA,0
2007,NA,"hake","at-sea",146
2007,"California","bottom trawl",NA,2.7
2007,"California","hake","shoreside",1
2007,"California","hook and line",NA,1.6
2007,"California","midwater trawl",NA,1
2007,"California","net",NA,2.9
2007,"Oregon","bottom trawl",NA,1.8
2007,"Oregon","hake","shoreside",46.1
2007,"Oregon","hook and line",NA,0.3
2007,"Oregon","midwater trawl",NA,0
2007,"Oregon","net",NA,0
2007,"Washington","bottom trawl",NA,0.3
2007,"Washington","hake","shoreside",35.3
2007,"Washington","hook and line",NA,0
2007,"Washington","midwater trawl",NA,0.5
2007,"Washington","net",NA,0
2008,NA,"hake","at-sea",115.2
2008,"California","bottom trawl",NA,0.2
2008,"California","hake","shoreside",29.2
2008,"California","hook and line",NA,1.2
2008,"California","midwater trawl",NA,29.2
2008,"California","net",NA,0
2008,"Oregon","bottom trawl",NA,1.7
2008,"Oregon","hake","shoreside",36.1
2008,"Oregon","hook and line",NA,0
2008,"Oregon","midwater trawl",NA,0
2008,"Oregon","net",NA,0
2008,"Washington","bottom trawl",NA,0.2
2008,"Washington","hake","shoreside",37.5
2008,"Washington","hook and line",NA,0
2008,"Washington","midwater trawl",NA,12.9
2008,"Washington","net",NA,0
2009,NA,"hake","at-sea",26.6
2009,"California","bottom trawl",NA,1.9
2009,"California","hake","shoreside",2.3
2009,"California","hook and line",NA,0.4
2009,"California","midwater trawl",NA,2.3
2009,"California","net",NA,0.2
2009,"Oregon","bottom trawl",NA,2.1
2009,"Oregon","hake","shoreside",46.6
2009,"Oregon","hook and line",NA,0
2009,"Oregon","midwater trawl",NA,0
2009,"Oregon","net",NA,0
2009,"Washington","bottom trawl",NA,0.2
2009,"Washington","hake","shoreside",59.8
2009,"Washington","hook and line",NA,0
2009,"Washington","midwater trawl",NA,34.1
2009,"Washington","net",NA,0
2010,NA,"hake","at-sea",44.6
2010,"California","bottom trawl",NA,1.2
2010,"California","hake","shoreside",9
2010,"California","hook and line",NA,0
2010,"California","midwater trawl",NA,9
2010,"California","net",NA,0
2010,"Oregon","bottom trawl",NA,2.9
2010,"Oregon","hake","shoreside",35.3
2010,"Oregon","hook and line",NA,0.1
2010,"Oregon","midwater trawl",NA,0
2010,"Oregon","net",NA,0
2010,"Washington","bottom trawl",NA,0.7
2010,"Washington","hake","shoreside",17.5
2010,"Washington","hook and line",NA,0
2010,"Washington","midwater trawl",NA,45.7
2010,"Washington","net",NA,0
2011,NA,"hake","at-sea",38.4
2011,"California","bottom trawl",NA,1.1
2011,"California","hake","shoreside",0
2011,"California","hook and line",NA,0
2011,"California","midwater trawl",NA,0
2011,"California","net",NA,0
2011,"Oregon","bottom trawl",NA,10
2011,"Oregon","hake","shoreside",79.9
2011,"Oregon","hook and line",NA,0
2011,"Oregon","midwater trawl",NA,12.4
2011,"Oregon","net",NA,0
2011,"Washington","bottom trawl",NA,7.2
2011,"Washington","hake","shoreside",19.5
2011,"Washington","hook and line",NA,0
2011,"Washington","midwater trawl",NA,31.5
2011,"Washington","net",NA,0
2012,NA,"hake","at-sea",79.2
2012,"California","bottom trawl",NA,2.3
2012,"California","hake","shoreside",0
2012,"California","hook and line",NA,0.2
2012,"California","midwater trawl",NA,0
2012,"California","net",NA,0
2012,"Oregon","bottom trawl",NA,27
2012,"Oregon","hake","shoreside",85.1
2012,"Oregon","hook and line",NA,0.1
2012,"Oregon","midwater trawl",NA,5.9
2012,"Oregon","net",NA,0
2012,"Washington","bottom trawl",NA,12
2012,"Washington","hake","shoreside",17.1
2012,"Washington","hook and line",NA,0
2012,"Washington","midwater trawl",NA,41.5
2012,"Washington","net",NA,0
2013,NA,"hake","at-sea",31.2
2013,"California","bottom trawl",NA,4.8
2013,"California","hake","shoreside",0
2013,"California","hook and line",NA,0.9
2013,"California","midwater trawl",NA,0
2013,"California","net",NA,0
2013,"Oregon","bottom trawl",NA,44
2013,"Oregon","hake","shoreside",115.1
2013,"Oregon","hook and line",NA,0.1
2013,"Oregon","midwater trawl",NA,204.5
2013,"Oregon","net",NA,0
2013,"Washington","bottom trawl",NA,2.4
2013,"Washington","hake","shoreside",29.2
2013,"Washington","hook and line",NA,0
2013,"Washington","midwater trawl",NA,36.6
2013,"Washington","net",NA,0
2014,NA,"hake","at-sea",56.2
2014,"California","bottom trawl",NA,2.7
2014,"California","hake","shoreside",0
2014,"California","hook and line",NA,1.7
2014,"California","midwater trawl",NA,0
2014,"California","net",NA,0
2014,"Oregon","bottom trawl",NA,46.1
2014,"Oregon","hake","shoreside",250.1
2014,"Oregon","hook and line",NA,0.1
2014,"Oregon","midwater trawl",NA,259.7
2014,"Oregon","net",NA,0
2014,"Washington","bottom trawl",NA,22.5
2014,"Washington","hake","shoreside",35.9
2014,"Washington","hook and line",NA,0
2014,"Washington","midwater trawl",NA,46.9
2014,"Washington","net",NA,0
2015,"California","bottom trawl",NA,1.80359400630896
2015,"Oregon","bottom trawl",NA,10.376405993691
2015,"Washington","bottom trawl",NA,0
2016,"California","bottom trawl",NA,0.428457358122397
2016,"Oregon","bottom trawl",NA,8.41633508756083
2016,"Washington","bottom trawl",NA,0.775207554316776
2017,"California","bottom trawl",NA,1.01260858915631
2017,"Oregon","bottom trawl",NA,34.2831645235743
2017,"Washington","bottom trawl",NA,0.634226887269372
2018,"California","bottom trawl",NA,21.4129414131725
2018,"Oregon","bottom trawl",NA,14.4668470833671
2018,"Washington","bottom trawl",NA,0.0502115034603975
2015,"California","midwater trawl",NA,0
2015,"Oregon","midwater trawl",NA,386.714768704768
2015,"Washington","midwater trawl",NA,92.4852312952319
2016,"California","midwater trawl",NA,0
2016,"Oregon","midwater trawl",NA,574.524760607801
2016,"Washington","midwater trawl",NA,13.4752393921986
2017,"California","midwater trawl",NA,51.9252737466652
2017,"Oregon","midwater trawl",NA,4770.28485077623
2017,"Washington","midwater trawl",NA,29.8898754771076
2018,"California","midwater trawl",NA,215.941516668144
2018,"Oregon","midwater trawl",NA,7605.93983675295
2018,"Washington","midwater trawl",NA,1552.41864657891
2015,"California","net",NA,0
2015,"Oregon","net",NA,0
2015,"Washington","net",NA,0
2016,"California","net",NA,0
2016,"Oregon","net",NA,0
2016,"Washington","net",NA,0
2017,"California","net",NA,0
2017,"Oregon","net",NA,0
2017,"Washington","net",NA,0
2018,"California","net",NA,0
2018,"Oregon","net",NA,0
2018,"Washington","net",NA,0
2015,"California","hook and line",NA,1.57853414652538
2015,"Oregon","hook and line",NA,0.417748035777024
2015,"Washington","hook and line",NA,0.0437178176975955
2016,"California","hook and line",NA,0.746239049914751
2016,"Oregon","hook and line",NA,0.0462813804456464
2016,"Washington","hook and line",NA,0.0274795696396026
2017,"California","hook and line",NA,2.34736219186301
2017,"Oregon","hook and line",NA,0.261146242963688
2017,"Washington","hook and line",NA,0.0514915651733049
2018,"California","hook and line",NA,1.47634394156662
2018,"Oregon","hook and line",NA,0.0100757285919972
2018,"Washington","hook and line",NA,0.0135803298413876
2015,"California","hake","shoreside",0
2015,"Oregon","hake","shoreside",267.948950486731
2015,"Washington","hake","shoreside",80.8401853408239
2015,NA,"hake","at-sea",37.4108641724446
2016,"California","hake","shoreside",0
2016,"Oregon","hake","shoreside",187.649613487934
2016,"Washington","hake","shoreside",59.3491288055013
2016,NA,"hake","at-sea",193.801257706565
2017,"California","hake","shoreside",0
2017,"Oregon","hake","shoreside",791.108571775511
2017,"Washington","hake","shoreside",182.791511099546
2017,NA,"hake","at-sea",481.299917124943
2018,"California","hake","shoreside",0
2018,"Oregon","hake","shoreside",720.333212450701
2018,"Washington","hake","shoreside",153.363108270165
2018,NA,"hake","at-sea",207.603679279134
2019,"California","hake","shoreside",0
2019,"Oregon","hake","shoreside",605.621903436539
2019,"Washington","hake","shoreside",297.006471021331
2020,"California","hake","shoreside",0
2020,"Oregon","hake","shoreside",474.404607583938
2020,"Washington","hake","shoreside",186.16919289343
2021,"California","hake","shoreside",0
2021,"Oregon","hake","shoreside",419.679125298261
2021,"Washington","hake","shoreside",82.1262562388116
2022,"California","hake","shoreside",0
2022,"Oregon","hake","shoreside",728.839407093666
2022,"Washington","hake","shoreside",203.054849722988
2023,"California","hake","shoreside",0
2023,"Oregon","hake","shoreside",368.75090955825
2023,"Washington","hake","shoreside",97.9588610045196
2024,"California","hake","shoreside",0
2024,"Oregon","hake","shoreside",408.253615936853
2024,"Washington","hake","shoreside",59.025398641696
2019,NA,"hake","at-sea",198.9231068
