"year","state","fleet","sector","landings_mt"
1930,"Oregon","hook and line",NA,1.2
1930,"Oregon","midwater trawl",NA,0
1930,"Oregon","net",NA,0
1930,"Washington","bottom trawl",NA,0
1930,"Washington","hook and line",NA,0
1930,"Washington","midwater trawl",NA,0
1930,"Washington","net",NA,0
1931,"California","bottom trawl",NA,20.4
1931,"California","hook and line",NA,78.6
1931,"California","midwater trawl",NA,0
1931,"California","net",NA,0
1931,"Oregon","bottom trawl",NA,0
1931,"Oregon","hook and line",NA,0.9
1931,"Oregon","midwater trawl",NA,0
1931,"Oregon","net",NA,0
1931,"Washington","bottom trawl",NA,0
1931,"Washington","hook and line",NA,0
1931,"Washington","midwater trawl",NA,0
1931,"Washington","net",NA,0
1932,"California","bottom trawl",NA,21.7
1932,"California","hook and line",NA,77.7
1932,"California","midwater trawl",NA,0
1932,"California","net",NA,0
1932,"Oregon","bottom trawl",NA,0.4
1932,"Oregon","hook and line",NA,0.3
1932,"Oregon","midwater trawl",NA,0
1932,"Oregon","net",NA,0
1932,"Washington","bottom trawl",NA,0
1932,"Washington","hook and line",NA,0
1932,"Washington","midwater trawl",NA,0
1932,"Washington","net",NA,0
1933,"California","bottom trawl",NA,34.3
1933,"California","hook and line",NA,50.9
1933,"California","midwater trawl",NA,0
1933,"California","net",NA,0
1933,"Oregon","bottom trawl",NA,0.2
1933,"Oregon","hook and line",NA,0.5
1933,"Oregon","midwater trawl",NA,0
1933,"Oregon","net",NA,0
1933,"Washington","bottom trawl",NA,0
1933,"Washington","hook and line",NA,0
1933,"Washington","midwater trawl",NA,0
1933,"Washington","net",NA,0
1934,"California","bottom trawl",NA,30.7
1934,"California","hook and line",NA,59.7
1934,"California","midwater trawl",NA,0
1934,"California","net",NA,0
1934,"Oregon","bottom trawl",NA,0
1934,"Oregon","hook and line",NA,0.5
1934,"Oregon","midwater trawl",NA,0
1934,"Oregon","net",NA,0
1934,"Washington","bottom trawl",NA,0
1934,"Washington","hook and line",NA,0
1934,"Washington","midwater trawl",NA,0
1934,"Washington","net",NA,0
1935,"California","bottom trawl",NA,28.9
1935,"California","hook and line",NA,67.9
1935,"California","midwater trawl",NA,0
1935,"California","net",NA,0
1935,"Oregon","bottom trawl",NA,0.2
1935,"Oregon","hook and line",NA,0.5
1935,"Oregon","midwater trawl",NA,0
1935,"Oregon","net",NA,0
1935,"Washington","bottom trawl",NA,0.7
1935,"Washington","hook and line",NA,0
1935,"Washington","midwater trawl",NA,0
1935,"Washington","net",NA,0
1936,"California","bottom trawl",NA,23.4
1936,"California","hook and line",NA,84.3
1936,"California","midwater trawl",NA,0
1936,"California","net",NA,0
1936,"Oregon","bottom trawl",NA,0.7
1936,"Oregon","hook and line",NA,1.2
1936,"Oregon","midwater trawl",NA,0
1936,"Oregon","net",NA,0
1936,"Washington","bottom trawl",NA,1.1
1936,"Washington","hook and line",NA,0
1936,"Washington","midwater trawl",NA,0
1936,"Washington","net",NA,0
1937,"California","bottom trawl",NA,33.6
1937,"California","hook and line",NA,66.3
1937,"California","midwater trawl",NA,0
1937,"California","net",NA,0
1937,"Oregon","bottom trawl",NA,1.3
1937,"Oregon","hook and line",NA,1.3
1937,"Oregon","midwater trawl",NA,0
1937,"Oregon","net",NA,0
1937,"Washington","bottom trawl",NA,0.9
1937,"Washington","hook and line",NA,0
1937,"Washington","midwater trawl",NA,0
1937,"Washington","net",NA,0
1938,"California","bottom trawl",NA,32.2
1938,"California","hook and line",NA,49.6
1938,"California","midwater trawl",NA,0
1938,"California","net",NA,0
1938,"Oregon","bottom trawl",NA,0
1938,"Oregon","hook and line",NA,1
1938,"Oregon","midwater trawl",NA,0
1938,"Oregon","net",NA,0
1938,"Washington","bottom trawl",NA,1.1
1938,"Washington","hook and line",NA,0
1938,"Washington","midwater trawl",NA,0
