"cap","table.Year","table.Age0","table.Age1","table.Age2","table.Age3","table.Age4","table.Age5","table.Age6","table.Age7","table.Age8","table.Age9","table.Age10","table.Age11","table.Age12","table.Age13","table.Age14","table.Age15","table.Age16","table.Age17","table.Age18","table.Age19","table.Age20","table.Age21","table.Age22","table.Age23","table.Age24","table.Age25","table.Age26","table.Age27","table.Age28","table.Age29","table.Age30","table.Age31","table.Age32","table.Age33","table.Age34","table.Age35","table.Age36","table.Age37","table.Age38","table.Age39","table.Age40"
"Numbers at age for females from the base model.",2020,4453.67,3658.78,4136.63,9596.02,30378.8,4900.98,5330.14,10469.4,954.068,1190.64,6899.77,1224.15,8356.55,796.653,2881.32,641.596,2973.51,804.761,736.426,735.603,1181.6,1268.18,846.352,415.045,235.119,269.317,351.394,307.55,189.671,385.091,160.327,76.574,76.7875,89.4799,25.9947,41.0631,41.0691,14.8594,16.6189,22.8621,42.5912
"Numbers at age for females from the base model.",2021,9444.55,3931.93,3230.1,3651.96,8469.61,26630.4,4165.03,4326.65,8239.57,745.041,935.735,5485.22,984.719,6791.32,652.832,2376.57,531.87,2474.56,671.73,616.121,616.553,991.784,1065.67,711.845,349.337,198.012,226.922,296.194,259.319,159.968,324.854,135.273,64.617,64.805,75.5244,21.9423,34.664,34.6711,12.5451,14.0311,55.2647
"Numbers at age for females from the base model.",2022,10231.9,8338.13,3471.23,2851.63,3223.01,7409.46,22366.1,3287.48,3271.73,6163.03,562.34,717.795,4277.81,779.035,5435.22,527.215,1932.69,434.855,2031.57,553.251,508.723,510.083,821.8,884.123,591.167,290.349,164.685,188.829,246.58,215.96,133.26,270.683,112.738,53.8615,54.0256,62.9691,18.2963,28.9065,28.9142,10.4627,57.7982
"Numbers at age for females from the base model.",2023,15057.1,9033.22,7361.15,3064.49,2516.51,2816.07,6187,17446.7,2447.29,2406.67,4577.53,424.989,552.177,3341.65,616.125,4340.37,424.163,1563.85,353.425,1656.81,452.401,416.867,418.68,675.437,727.437,486.82,239.267,135.788,155.769,203.487,178.274,110.034,223.553,93.1251,44.4979,44.6389,52.0338,15.1202,23.8902,23.898,56.4241
"Numbers at age for females from the base model.",2024,13022.8,13293.2,7974.81,6498.62,2704.45,2200.05,2357.03,4846.47,13054.9,1810.06,1797.32,3478.09,328.653,433.567,2656.29,494.484,3509.32,344.906,1277.23,289.633,1361.37,372.509,343.819,345.771,558.409,601.915,403.097,198.23,112.552,129.162,168.782,147.907,91.3105,185.546,77.3037,36.9425,37.0633,43.2068,12.5561,19.84,66.7107
"Numbers at age for females from the base model.",2025,15522.7,11497.2,11735.7,7040.38,5734.95,2364.03,1839.94,1842.39,3615.09,9623.57,1347.77,1362.33,2684.57,257.677,344.253,2130,399.535,2852.09,281.576,1046.36,237.927,1120.74,307.186,283.912,285.835,462.02,498.371,333.949,164.304,93.3249,107.132,140.032,122.739,75.7869,154.024,64.1789,30.6734,30.7764,35.8803,10.4276,71.8858
"Numbers at age for females from the base model.",2026,15078,13704.2,10150,10360.4,6210.94,4994.83,1941.79,1380.69,1297.38,2504.48,6758.05,969.512,1004.17,2020.68,197.241,266.98,1668.57,315.405,2264.93,224.638,837.768,191.034,901.863,247.635,229.199,231.018,373.764,403.479,270.532,133.17,75.6729,86.8988,113.617,99.6103,61.5176,125.045,52.1107,24.9084,24.9943,29.1417,66.8631
"Numbers at age for females from the base model.",2027,14583.4,13311.6,12098.3,8960.51,9138.85,5398.49,4056.99,1418.63,935.263,861.816,1690.96,4696.04,693.52,736.364,1511.48,149.827,205.21,1294.17,246.341,1778.52,177.137,662.799,151.531,716.86,197.165,182.733,184.384,298.581,322.553,216.4,106.576,60.5854,69.5963,91.0198,79.8171,49.303,100.232,41.776,19.9707,20.0414,76.991
"Numbers at age for females from the base model.",2028,14475.9,12875,11752,10680.9,7908.86,8013.81,4602.83,3326.34,1134.08,742.976,688.026,1362.12,3817.82,568.369,607.427,1253.21,124.719,171.344,1083.15,206.552,1493.39,148.907,557.669,127.587,603.934,166.183,154.077,155.517,251.898,272.178,182.635,89.9592,51.1451,58.7576,76.8508,67.3964,41.633,84.6432,35.2799,16.8658,81.9507
"Numbers at age for females from the base model.",2029,14453.8,12780,11366.5,10375.1,9427.35,6936.06,6836.94,3778.97,2664.03,902.682,594.255,555.161,1109.06,3133.11,469.428,504.212,1044.32,104.242,143.544,909.043,173.595,1256.5,125.397,469.95,107.579,509.457,140.238,130.061,131.309,212.73,229.895,154.284,76.0031,43.2147,49.6506,64.9436,56.9572,35.1859,71.5384,29.8186,83.5242
"Numbers at age for females from the base model.",2030,14493,12760.6,11282.7,10034.8,9157.51,8268.16,5918.88,5616.1,3028.66,2122.05,722.507,479.807,452.282,910.626,2588.93,389.832,420.336,873.189,87.3607,120.513,764.262,146.108,1058.47,105.707,396.381,90.7789,430.056,118.417,109.85,110.926,179.739,194.268,130.389,64.238,36.5279,41.9707,54.9012,48.1518,29.7474,60.4829,95.8315
"Numbers at age for females from the base model.",2031,14564.7,12795.1,11265.5,9960.81,8857.11,8031.48,7055.56,4861.89,4500.93,2412.43,1698.45,583.347,390.885,371.354,752.448,2149.92,324.979,351.453,731.775,73.3436,101.318,643.24,123.079,892.258,89.1578,334.476,76.6297,363.134,100.014,92.7975,93.7221,151.883,164.179,110.204,54.2977,30.8775,35.4802,46.4131,40.7088,25.15,132.162
"Numbers at age for females from the base model.",2032,14646.4,12858.5,11296,9945.64,8791.81,7767.87,6852.93,5794.36,3895.35,3584.04,1930.3,1370.95,475.123,320.874,306.79,624.742,1791.95,271.679,294.49,614.271,61.6528,85.2625,541.781,103.738,752.47,75.2238,282.307,64.6969,306.662,84.4775,78.395,79.1869,128.342,138.745,93.1388,45.8927,26.0992,29.991,39.2339,34.413,132.99
"Numbers at age for females from the base model.",2033,14723.2,12930.6,11352,9972.55,8778.4,7710.35,6626.88,5625.89,4640.15,3100.19,2866.32,1557.39,1116.15,389.882,264.998,254.642,520.572,1497.65,227.587,247.14,516.232,51.8704,71.7971,456.539,87.4656,634.727,63.4766,238.293,54.6235,258.967,71.3507,66.2224,66.8989,108.436,117.235,78.7044,38.7825,22.0566,25.3465,33.1591,141.49
"Numbers at age for females from the base model.",2034,14789.7,12998.4,11415.6,10021.9,8802.15,7698.38,6576.86,5438.63,4503.33,3691.28,2478.3,2311.68,1267.5,915.617,321.897,219.897,212.131,434.974,1254.31,190.953,207.653,434.233,43.6699,60.4889,384.852,73.7651,535.504,53.5699,201.153,46.1193,218.685,60.2606,55.9358,56.5126,91.6084,99.0482,66.4983,32.7693,18.6374,21.418,147.587
"Numbers at age for females from the base model.",2035,14846.3,13057.1,11475.5,10078.1,8845.73,7719.12,6566.26,5396.88,4352.66,3581.77,2950.29,1998.41,1881.11,1039.64,755.868,267.082,183.167,177.233,364.264,1052.31,160.429,174.654,365.552,36.7888,50.9866,324.543,62.2289,451.893,45.217,169.822,38.9426,184.681,50.8962,47.2479,47.7388,77.3909,83.6806,56.1834,27.6873,15.7476,142.807
"Numbers at age for females from the base model.",2036,14894.8,13107,11527.3,10131,8895.34,7757.25,6583.57,5387.51,4318.52,3461.31,2862.27,2378.64,1625.97,1542.74,858.151,627.088,222.449,153.02,148.409,305.577,884.025,134.924,147.018,307.927,31.0071,42.9934,273.767,52.5088,381.402,38.1714,143.385,32.8848,155.97,42.9878,39.9096,40.3269,65.3787,70.6953,47.4668,23.3924,133.967
