"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2015,63610.2,42856.3373641038,84364.0626358962,0.764631,0.607184153175921,0.922077846824079
2016,66386.2,45230.3487508747,87542.0512491253,0.798,0.642030966020264,0.953969033979736
2017,68065.9,46830.0822203054,89301.7177796946,0.81819,0.666352374103276,0.970027625896724
2018,66165.6,45084.8153714825,87246.3846285175,0.795348,0.646492263309355,0.944203736690645
2019,62309.4,41242.9231085697,83375.8768914303,0.748995,0.598691241917577,0.899298758082423
2020,59432,38142.0872143321,80721.9127856679,0.714406,0.560244248810408,0.868567751189592
2021,57764,35884.334051384,79643.665948616,0.694357,0.533045692187603,0.855668307812397
2022,55462.1,32704.5661827085,78219.6338172915,0.666686,0.493118449403079,0.840253550596921
2023,52106.1,28525.3813092017,75686.8186907983,0.626345,0.438625333456309,0.814064666543691
2024,47913.7,23894.3413694616,71933.0586305383,0.57595,0.376609902988369,0.775290097011631
2025,43099.9,19114.6447427926,67085.1552572074,0.518085,0.311216681323751,0.724953318676249
