"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.14, -0.23, -0.26, -0.13, and -0.00 for SSB.","RetroSsb","..//Users/raquelrd/Desktop/Stock assessment course/Widow_assessment_update/models/model_bridging/2025_base_model_retro_5_yr_peel/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.09, -0.17, -0.21, -0.15, and -0.09 for fraction unfished.","RetroFractionunfished","..//Users/raquelrd/Desktop/Stock assessment course/Widow_assessment_update/models/model_bridging/2025_base_model_retro_5_yr_peel/compare4_Bratio_uncertainty.png"
