"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"4","SR_LN(R0)",9.8,19057.2,0.00318316,73121.3,15299.8,0.209238,0
"3","SR_LN(R0)",10,19051.1,0.00247343,73887.3,21502.6,0.29102,0
"2","SR_LN(R0)",10.2,19048.1,0.000647038,76459,29330,0.383604,0
"1","SR_LN(R0)",10.4,19047,0.163085,80766.9,38709.8,0.479278,0
"5","SR_LN(R0)",10.6,19047.4,0.0050296,86546.3,49437.9,0.571231,0
"6","SR_LN(R0)",10.8,19049.1,0.00352785,93668.4,61336.3,0.654824,0
"7","SR_LN(R0)",11,19051.8,0.0181357,102177,74316.5,0.727331,1
"8","SR_LN(R0)",11.2,19055.3,0.0625111,112270,88407.3,0.787455,1
"9","SR_LN(R0)",11.4,19059.4,0.0647752,124362,103906,0.835515,1
