"year","state","fleet","landings_mt"
1933,"WA","net",0
1934,"CA","bottom trawl",30.7
1934,"CA","hook and line",59.7
1934,"CA","midwater trawl",0
1934,"CA","net",0
1934,"OR","bottom trawl",0
1934,"OR","hook and line",0.5
1934,"OR","midwater trawl",0
1934,"OR","net",0
1934,"WA","bottom trawl",0
1934,"WA","hook and line",0
1934,"WA","midwater trawl",0
1934,"WA","net",0
1935,"CA","bottom trawl",28.9
1935,"CA","hook and line",67.9
1935,"CA","midwater trawl",0
1935,"CA","net",0
1935,"OR","bottom trawl",0.2
1935,"OR","hook and line",0.5
1935,"OR","midwater trawl",0
1935,"OR","net",0
1935,"WA","bottom trawl",0.7
1935,"WA","hook and line",0
1935,"WA","midwater trawl",0
1935,"WA","net",0
1936,"CA","bottom trawl",23.4
1936,"CA","hook and line",84.3
1936,"CA","midwater trawl",0
1936,"CA","net",0
1936,"OR","bottom trawl",0.7
1936,"OR","hook and line",1.2
1936,"OR","midwater trawl",0
1936,"OR","net",0
1936,"WA","bottom trawl",1.1
1936,"WA","hook and line",0
1936,"WA","midwater trawl",0
1936,"WA","net",0
1937,"CA","bottom trawl",33.6
1937,"CA","hook and line",66.3
1937,"CA","midwater trawl",0
1937,"CA","net",0
1937,"OR","bottom trawl",1.3
1937,"OR","hook and line",1.3
1937,"OR","midwater trawl",0
1937,"OR","net",0
1937,"WA","bottom trawl",0.9
1937,"WA","hook and line",0
1937,"WA","midwater trawl",0
1937,"WA","net",0
1938,"CA","bottom trawl",32.2
1938,"CA","hook and line",49.6
1938,"CA","midwater trawl",0
1938,"CA","net",0
1938,"OR","bottom trawl",0
1938,"OR","hook and line",1
1938,"OR","midwater trawl",0
1938,"OR","net",0
1938,"WA","bottom trawl",1.1
1938,"WA","hook and line",0
1938,"WA","midwater trawl",0
1938,"WA","net",0
1939,"CA","bottom trawl",38.8
1939,"CA","hook and line",34.2
1939,"CA","midwater trawl",0
1939,"CA","net",0
1939,"OR","bottom trawl",1.9
1939,"OR","hook and line",0.7
1939,"OR","midwater trawl",0
1939,"OR","net",0
1939,"WA","bottom trawl",1
1939,"WA","hook and line",0
1939,"WA","midwater trawl",0
1939,"WA","net",0
1940,"CA","bottom trawl",30.6
1940,"CA","hook and line",43.9
1940,"CA","midwater trawl",0
1940,"CA","net",0
1940,"OR","bottom trawl",43.7
1940,"OR","hook and line",1.5
1940,"OR","midwater trawl",0
1940,"OR","net",0
1940,"WA","bottom trawl",1
1940,"WA","hook and line",0
1940,"WA","midwater trawl",0
1940,"WA","net",0
1941,"CA","bottom trawl",24.8
1941,"CA","hook and line",34.1
1941,"CA","midwater trawl",0
1941,"CA","net",0
1941,"OR","bottom trawl",67.3
1941,"OR","hook and line",1.9
1941,"OR","midwater trawl",0
1941,"OR","net",0
1941,"WA","bottom trawl",1.4
1941,"WA","hook and line",0
1941,"WA","midwater trawl",0
1941,"WA","net",0
1942,"CA","bottom trawl",5.4
1942,"CA","hook and line",10.2
1942,"CA","midwater trawl",0
1942,"CA","net",0
1942,"OR","bottom trawl",126.1
1942,"OR","hook and line",3.1
1942,"OR","midwater trawl",0
1942,"OR","net",0
1942,"WA","bottom trawl",1.8
1942,"WA","hook and line",0
1942,"WA","midwater trawl",0
1942,"WA","net",0
1943,"CA","bottom trawl",28.3
1943,"CA","hook and line",18
1943,"CA","midwater trawl",0
1943,"CA","net",0
1943,"OR","bottom trawl",439.2
1943,"OR","hook and line",3.9
1943,"OR","midwater trawl",0
1943,"OR","net",0
1943,"WA","bottom trawl",1.2
1943,"WA","hook and line",0
1943,"WA","midwater trawl",0
1943,"WA","net",0
1944,"CA","bottom trawl",148.6
1944,"CA","hook and line",38
1944,"CA","midwater trawl",0
1944,"CA","net",0
1944,"OR","bottom trawl",770.7
1944,"OR","hook and line",1.4
1944,"OR","midwater trawl",0
1944,"OR","net",0
1944,"WA","bottom trawl",2
1944,"WA","hook and line",0
1944,"WA","midwater trawl",0
1944,"WA","net",0
1945,"CA","bottom trawl",353.4
1945,"CA","hook and line",66.8
1945,"CA","midwater trawl",0
1945,"CA","net",0
1945,"OR","bottom trawl",1196.6
1945,"OR","hook and line",1.1
1945,"OR","midwater trawl",0
1945,"OR","net",0
1945,"WA","bottom trawl",3.4
1945,"WA","hook and line",0
1945,"WA","midwater trawl",0
1945,"WA","net",0
1946,"CA","bottom trawl",353.2
1946,"CA","hook and line",69.7
1946,"CA","midwater trawl",0
1946,"CA","net",0
1946,"OR","bottom trawl",735
1946,"OR","hook and line",1.3
1946,"OR","midwater trawl",0
1946,"OR","net",0
1946,"WA","bottom trawl",0.8
1946,"WA","hook and line",0
1946,"WA","midwater trawl",0
1946,"WA","net",0
1947,"CA","bottom trawl",98.1
1947,"CA","hook and line",91.3
1947,"CA","midwater trawl",0
1947,"CA","net",0
1947,"OR","bottom trawl",452.8
1947,"OR","hook and line",0.7
1947,"OR","midwater trawl",0
1947,"OR","net",0
1947,"WA","bottom trawl",0.2
1947,"WA","hook and line",0
1947,"WA","midwater trawl",0
1947,"WA","net",0
1948,"CA","bottom trawl",139.4
1948,"CA","hook and line",39.6
1948,"CA","midwater trawl",0
1948,"CA","net",0
1948,"OR","bottom trawl",297.3
1948,"OR","hook and line",1.2
1948,"OR","midwater trawl",0
1948,"OR","net",0
1948,"WA","bottom trawl",0.1
1948,"WA","hook and line",0
1948,"WA","midwater trawl",0
1948,"WA","net",0
1949,"CA","bottom trawl",75.1
1949,"CA","hook and line",43.9
1949,"CA","midwater trawl",0
1949,"CA","net",0
1949,"OR","bottom trawl",254.7
1949,"OR","hook and line",0.6
1949,"OR","midwater trawl",0
1949,"OR","net",0
1949,"WA","bottom trawl",0
1949,"WA","hook and line",0
1949,"WA","midwater trawl",0
1949,"WA","net",0
1950,"CA","bottom trawl",70.9
1950,"CA","hook and line",63.4
1950,"CA","midwater trawl",0
1950,"CA","net",0
1950,"OR","bottom trawl",286.8
1950,"OR","hook and line",0.8
1950,"OR","midwater trawl",0
1950,"OR","net",0
1950,"WA","bottom trawl",1.8
1950,"WA","hook and line",0
1950,"WA","midwater trawl",0
1950,"WA","net",0
1951,"CA","bottom trawl",249.4
1951,"CA","hook and line",49.1
1951,"CA","midwater trawl",0
1951,"CA","net",0
1951,"OR","bottom trawl",252.9
1951,"OR","hook and line",0.6
1951,"OR","midwater trawl",0
1951,"OR","net",0
1951,"WA","bottom trawl",2
1951,"WA","hook and line",0
1951,"WA","midwater trawl",0
1951,"WA","net",0
1952,"CA","bottom trawl",236.6
1952,"CA","hook and line",39.9
1952,"CA","midwater trawl",0
1952,"CA","net",0
1952,"OR","bottom trawl",264.2
1952,"OR","hook and line",0.6
1952,"OR","midwater trawl",0
1952,"OR","net",0
1952,"WA","bottom trawl",0.2
1952,"WA","hook and line",0
1952,"WA","midwater trawl",0
1952,"WA","net",0
1953,"CA","bottom trawl",242.6
1953,"CA","hook and line",13.7
1953,"CA","midwater trawl",0
1953,"CA","net",0
1953,"OR","bottom trawl",211.5
1953,"OR","hook and line",0.3
1953,"OR","midwater trawl",0
1953,"OR","net",0
1953,"WA","bottom trawl",1.2
1953,"WA","hook and line",0
1953,"WA","midwater trawl",0
1953,"WA","net",0
1954,"CA","bottom trawl",155.8
1954,"CA","hook and line",21.3
1954,"CA","midwater trawl",0
1954,"CA","net",0
1954,"OR","bottom trawl",267.3
1954,"OR","hook and line",0.4
1954,"OR","midwater trawl",0
1954,"OR","net",0
1954,"WA","bottom trawl",3.1
1954,"WA","hook and line",0
1954,"WA","midwater trawl",0
1954,"WA","net",0
1955,"CA","bottom trawl",166.3
1955,"CA","hook and line",18.2
1955,"CA","midwater trawl",0
1955,"CA","net",0
1955,"OR","bottom trawl",277.5
1955,"OR","hook and line",0.4
1955,"OR","midwater trawl",0
1955,"OR","net",0
1955,"WA","bottom trawl",2.5
1955,"WA","hook and line",0
1955,"WA","midwater trawl",0
1955,"WA","net",0
1956,"CA","bottom trawl",196.8
1956,"CA","hook and line",41.8
1956,"CA","midwater trawl",0
1956,"CA","net",0
1956,"OR","bottom trawl",361.3
1956,"OR","hook and line",0.3
1956,"OR","midwater trawl",0
1956,"OR","net",0
1956,"WA","bottom trawl",0.7
1956,"WA","hook and line",0
1956,"WA","midwater trawl",0
1956,"WA","net",0
1957,"CA","bottom trawl",233.1
1957,"CA","hook and line",37.4
1957,"CA","midwater trawl",0
1957,"CA","net",0
1957,"OR","bottom trawl",489.5
1957,"OR","hook and line",0.6
1957,"OR","midwater trawl",0
1957,"OR","net",0
1957,"WA","bottom trawl",0.1
1957,"WA","hook and line",0
1957,"WA","midwater trawl",0
1957,"WA","net",0
1958,"CA","bottom trawl",284.3
1958,"CA","hook and line",36.6
1958,"CA","midwater trawl",0
1958,"CA","net",0
1958,"OR","bottom trawl",380.4
1958,"OR","hook and line",0.1
1958,"OR","midwater trawl",0
1958,"OR","net",0
1958,"WA","bottom trawl",0.2
1958,"WA","hook and line",0
1958,"WA","midwater trawl",0
1958,"WA","net",0
1959,"CA","bottom trawl",229.9
1959,"CA","hook and line",28.6
1959,"CA","midwater trawl",0
1959,"CA","net",0
1959,"OR","bottom trawl",412.8
1959,"OR","hook and line",0.2
1959,"OR","midwater trawl",0
1959,"OR","net",0
1959,"WA","bottom trawl",0.1
1959,"WA","hook and line",0
1959,"WA","midwater trawl",0
1959,"WA","net",0
1960,"CA","bottom trawl",180
1960,"CA","hook and line",21.9
1960,"CA","midwater trawl",0
1960,"CA","net",0
1960,"OR","bottom trawl",608.6
1960,"OR","hook and line",0.2
1960,"OR","midwater trawl",0
1960,"OR","net",0
1960,"WA","bottom trawl",0.2
1960,"WA","hook and line",0
1960,"WA","midwater trawl",0
1960,"WA","net",0
1961,"CA","bottom trawl",118.4
1961,"CA","hook and line",15
1961,"CA","midwater trawl",0
1961,"CA","net",0
1961,"OR","bottom trawl",543.1
1961,"OR","hook and line",0.5
1961,"OR","midwater trawl",0
1961,"OR","net",0
1961,"WA","bottom trawl",0.2
1961,"WA","hook and line",0
1961,"WA","midwater trawl",0
1961,"WA","net",0
1962,"CA","bottom trawl",115.9
1962,"CA","hook and line",15.4
1962,"CA","midwater trawl",0
1962,"CA","net",0
1962,"OR","bottom trawl",623.8
1962,"OR","hook and line",0.4
1962,"OR","midwater trawl",0
1962,"OR","net",0
1962,"WA","bottom trawl",2
1962,"WA","hook and line",0
1962,"WA","midwater trawl",0
1962,"WA","net",0
1963,"CA","bottom trawl",221.2
1963,"CA","hook and line",19.6
1963,"CA","midwater trawl",0
1963,"CA","net",0
1963,"OR","bottom trawl",190.2
1963,"OR","hook and line",0.4
1963,"OR","midwater trawl",0
1963,"OR","net",0
1963,"WA","bottom trawl",2.1
1963,"WA","hook and line",0
1963,"WA","midwater trawl",0
1963,"WA","net",0
1964,"CA","bottom trawl",104.1
1964,"CA","hook and line",13
1964,"CA","midwater trawl",0
1964,"CA","net",0
1964,"OR","bottom trawl",480.9
1964,"OR","hook and line",0.1
1964,"OR","midwater trawl",0
1964,"OR","net",0
1964,"WA","bottom trawl",3.2
1964,"WA","hook and line",0
1964,"WA","midwater trawl",0
1964,"WA","net",0
1965,"CA","bottom trawl",155.9
1965,"CA","hook and line",20.2
1965,"CA","midwater trawl",0
1965,"CA","net",0
1965,"OR","bottom trawl",80.6
1965,"OR","hook and line",0.6
1965,"OR","midwater trawl",0
1965,"OR","net",0
1965,"WA","bottom trawl",2.2
1965,"WA","hook and line",0
1965,"WA","midwater trawl",0
1965,"WA","net",0
1966,"CA","bottom trawl",123
1966,"CA","hook and line",37.4
1966,"CA","midwater trawl",0
1966,"CA","net",0
1966,"OR","bottom trawl",455.8
1966,"OR","hook and line",0.4
1966,"OR","midwater trawl",0
1966,"OR","net",0
1966,"WA","bottom trawl",0.6
1966,"WA","hook and line",0
1966,"WA","midwater trawl",0
1966,"WA","net",0
1967,"CA","bottom trawl",141.9
1967,"CA","hook and line",31.9
1967,"CA","midwater trawl",0
1967,"CA","net",0
1967,"OR","bottom trawl",743.9
1967,"OR","hook and line",1.1
1967,"OR","midwater trawl",0
1967,"OR","net",0
1967,"WA","bottom trawl",0.6
1967,"WA","hook and line",0
1967,"WA","midwater trawl",0
1967,"WA","net",0
1968,"CA","bottom trawl",155
1968,"CA","hook and line",19
1968,"CA","midwater trawl",0
1968,"CA","net",0
1968,"OR","bottom trawl",240.6
1968,"OR","hook and line",1
1968,"OR","midwater trawl",0
1968,"OR","net",0
1968,"WA","bottom trawl",16.7
1968,"WA","hook and line",0
1968,"WA","midwater trawl",0
1968,"WA","net",0
1969,"CA","bottom trawl",223.5
1969,"CA","hook and line",17.6
1969,"CA","midwater trawl",0
1969,"CA","net",0
1969,"OR","bottom trawl",229.3
1969,"OR","hook and line",2.3
1969,"OR","midwater trawl",0
1969,"OR","net",0
1969,"WA","bottom trawl",16.7
1969,"WA","hook and line",0
1969,"WA","midwater trawl",0
1969,"WA","net",0
1970,"CA","bottom trawl",257.3
1970,"CA","hook and line",9
1970,"CA","midwater trawl",0
1970,"CA","net",0
1970,"OR","bottom trawl",27.7
1970,"OR","hook and line",0.9
1970,"OR","midwater trawl",0
1970,"OR","net",0
1970,"WA","bottom trawl",3
1970,"WA","hook and line",0
1970,"WA","midwater trawl",0
1970,"WA","net",0
1971,"CA","bottom trawl",316.2
1971,"CA","hook and line",10.2
1971,"CA","midwater trawl",0
1971,"CA","net",0
1971,"OR","bottom trawl",50.6
1971,"OR","hook and line",1.8
1971,"OR","midwater trawl",0
1971,"OR","net",0
1971,"WA","bottom trawl",11.7
1971,"WA","hook and line",0
1971,"WA","midwater trawl",0
1971,"WA","net",0
1972,"CA","bottom trawl",411.9
1972,"CA","hook and line",17.8
1972,"CA","midwater trawl",0
1972,"CA","net",0
1972,"OR","bottom trawl",51.8
1972,"OR","hook and line",2.3
1972,"OR","midwater trawl",0
1972,"OR","net",0
1972,"WA","bottom trawl",14.1
1972,"WA","hook and line",0
1972,"WA","midwater trawl",0
1972,"WA","net",0
1973,"CA","bottom trawl",428.1
1973,"CA","hook and line",15.8
1973,"CA","midwater trawl",0
1973,"CA","net",0
1973,"OR","bottom trawl",20.9
1973,"OR","hook and line",2.5
1973,"OR","midwater trawl",0
1973,"OR","net",0
1973,"WA","bottom trawl",32.4
1973,"WA","hook and line",0
1973,"WA","midwater trawl",0
1973,"WA","net",0
1974,"CA","bottom trawl",426.4
1974,"CA","hook and line",41.3
1974,"CA","midwater trawl",0
1974,"CA","net",0
1974,"OR","bottom trawl",7.3
1974,"OR","hook and line",3.1
1974,"OR","midwater trawl",0
1974,"OR","net",0
1974,"WA","bottom trawl",6.5
1974,"WA","hook and line",0
1974,"WA","midwater trawl",0
1974,"WA","net",0
