"year","state","fleet","landings_mt"
1992,"WA","hook and line",0.5
1992,"WA","midwater trawl",282.5
1992,"WA","net",0
1993,"CA","bottom trawl",1088.3
1993,"CA","hook and line",63.7
1993,"CA","midwater trawl",1.2
1993,"CA","net",51.6
1993,"OR","bottom trawl",3457
1993,"OR","hook and line",44.7
1993,"OR","midwater trawl",1706.8
1993,"OR","net",0
1993,"WA","bottom trawl",1109.8
1993,"WA","hook and line",0.5
1993,"WA","midwater trawl",547.9
1993,"WA","net",0
1994,"CA","bottom trawl",557.9
1994,"CA","hook and line",71.7
1994,"CA","midwater trawl",210
1994,"CA","net",58.4
1994,"OR","bottom trawl",2600.7
1994,"OR","hook and line",9.6
1994,"OR","midwater trawl",1564.4
1994,"OR","net",0
1994,"WA","bottom trawl",644.1
1994,"WA","hook and line",0.4
1994,"WA","midwater trawl",387.5
1994,"WA","net",0
1995,"CA","bottom trawl",1361.1
1995,"CA","hook and line",19
1995,"CA","midwater trawl",292.7
1995,"CA","net",57.6
1995,"OR","bottom trawl",2386.7
1995,"OR","hook and line",7.2
1995,"OR","midwater trawl",1283.4
1995,"OR","net",0
1995,"WA","bottom trawl",339
1995,"WA","hook and line",0.1
1995,"WA","midwater trawl",700.7
1995,"WA","net",0
1996,"CA","bottom trawl",1056.8
1996,"CA","hook and line",21.6
1996,"CA","midwater trawl",238.8
1996,"CA","net",16.1
1996,"OR","bottom trawl",2292.1
1996,"OR","hook and line",11
1996,"OR","midwater trawl",998.2
1996,"OR","net",0
1996,"WA","bottom trawl",237.9
1996,"WA","hook and line",0.1
1996,"WA","midwater trawl",609.4
1996,"WA","net",0
1997,"CA","bottom trawl",1032.5
1997,"CA","hook and line",22.4
1997,"CA","midwater trawl",253.6
1997,"CA","net",16.4
1997,"OR","bottom trawl",2502.8
1997,"OR","hook and line",15.6
1997,"OR","midwater trawl",1453.1
1997,"OR","net",0
1997,"WA","bottom trawl",241.7
1997,"WA","hook and line",0
1997,"WA","midwater trawl",735.8
1997,"WA","net",0
1998,"CA","bottom trawl",686.2
1998,"CA","hook and line",62.4
1998,"CA","midwater trawl",81.6
1998,"CA","net",48.7
1998,"OR","bottom trawl",1641.1
1998,"OR","hook and line",24.1
1998,"OR","midwater trawl",493.4
1998,"OR","net",0
1998,"WA","bottom trawl",188.4
1998,"WA","hook and line",0
1998,"WA","midwater trawl",307.8
1998,"WA","net",0
1999,"CA","bottom trawl",485
1999,"CA","hook and line",29
1999,"CA","midwater trawl",100.1
1999,"CA","net",10
1999,"OR","bottom trawl",945
1999,"OR","hook and line",14.7
1999,"OR","midwater trawl",1634.2
1999,"OR","net",0
1999,"WA","bottom trawl",182.7
1999,"WA","hook and line",0.1
1999,"WA","midwater trawl",315.9
1999,"WA","net",0
2000,"CA","bottom trawl",34.2
2000,"CA","hook and line",11.9
2000,"CA","midwater trawl",680.8
2000,"CA","net",6.8
2000,"OR","bottom trawl",19.6
2000,"OR","hook and line",2.5
2000,"OR","midwater trawl",2604.8
2000,"OR","net",0
2000,"WA","bottom trawl",2.9
2000,"WA","hook and line",0
2000,"WA","midwater trawl",379.4
2000,"WA","net",0
2001,"CA","bottom trawl",9.3
2001,"CA","hook and line",6.4
2001,"CA","midwater trawl",310.3
2001,"CA","net",7
2001,"OR","bottom trawl",28.8
2001,"OR","hook and line",0.7
2001,"OR","midwater trawl",1092.4
2001,"OR","net",0
2001,"WA","bottom trawl",1
2001,"WA","hook and line",0
2001,"WA","midwater trawl",287.1
2001,"WA","net",0
2002,"CA","bottom trawl",8.7
2002,"CA","hook and line",0.4
2002,"CA","midwater trawl",40
2002,"CA","net",0
2002,"OR","bottom trawl",6
2002,"OR","hook and line",0.1
2002,"OR","midwater trawl",151.7
2002,"OR","net",0
2002,"WA","bottom trawl",2.4
2002,"WA","hook and line",0
2002,"WA","midwater trawl",59.8
2002,"WA","net",0
2003,"CA","bottom trawl",3.1
2003,"CA","hook and line",0.3
2003,"CA","midwater trawl",0.4
2003,"CA","net",0.4
2003,"OR","bottom trawl",0.3
2003,"OR","hook and line",0.6
2003,"OR","midwater trawl",0
2003,"OR","net",0
2003,"WA","bottom trawl",0.2
2003,"WA","hook and line",0
2003,"WA","midwater trawl",9.3
2003,"WA","net",0
2004,"CA","bottom trawl",5.9
2004,"CA","hook and line",0.2
2004,"CA","midwater trawl",7.5
2004,"CA","net",0
2004,"OR","bottom trawl",2.4
2004,"OR","hook and line",0.1
2004,"OR","midwater trawl",0
2004,"OR","net",0
2004,"WA","bottom trawl",0.1
2004,"WA","hook and line",0
2004,"WA","midwater trawl",21.3
2004,"WA","net",0
2005,"CA","bottom trawl",2.7
2005,"CA","hook and line",0.4
2005,"CA","midwater trawl",5.2
2005,"CA","net",0.1
2005,"OR","bottom trawl",0.2
2005,"OR","hook and line",0.8
2005,"OR","midwater trawl",0
2005,"OR","net",0
2005,"WA","bottom trawl",0.2
2005,"WA","hook and line",0.1
2005,"WA","midwater trawl",27.6
2005,"WA","net",0
2006,"CA","bottom trawl",3.8
2006,"CA","hook and line",0.8
2006,"CA","midwater trawl",3.6
2006,"CA","net",0
2006,"OR","bottom trawl",2
2006,"OR","hook and line",0
2006,"OR","midwater trawl",0
2006,"OR","net",0
2006,"WA","bottom trawl",0.3
2006,"WA","hook and line",0
2006,"WA","midwater trawl",9.3
2006,"WA","net",0
2007,"CA","bottom trawl",2.7
2007,"CA","hook and line",1.6
2007,"CA","midwater trawl",1
2007,"CA","net",2.9
2007,"OR","bottom trawl",1.8
2007,"OR","hook and line",0.3
2007,"OR","midwater trawl",0
2007,"OR","net",0
2007,"WA","bottom trawl",0.3
2007,"WA","hook and line",0
2007,"WA","midwater trawl",0.5
2007,"WA","net",0
2008,"CA","bottom trawl",0.2
2008,"CA","hook and line",1.2
2008,"CA","midwater trawl",29.2
2008,"CA","net",0
2008,"OR","bottom trawl",1.7
2008,"OR","hook and line",0
2008,"OR","midwater trawl",0
2008,"OR","net",0
2008,"WA","bottom trawl",0.2
2008,"WA","hook and line",0
2008,"WA","midwater trawl",12.9
2008,"WA","net",0
2009,"CA","bottom trawl",1.9
2009,"CA","hook and line",0.4
2009,"CA","midwater trawl",2.3
2009,"CA","net",0.2
2009,"OR","bottom trawl",2.1
2009,"OR","hook and line",0
2009,"OR","midwater trawl",0
2009,"OR","net",0
2009,"WA","bottom trawl",0.2
2009,"WA","hook and line",0
2009,"WA","midwater trawl",34.1
2009,"WA","net",0
2010,"CA","bottom trawl",1.2
2010,"CA","hook and line",0
2010,"CA","midwater trawl",9
2010,"CA","net",0
2010,"OR","bottom trawl",2.9
2010,"OR","hook and line",0.1
2010,"OR","midwater trawl",0
2010,"OR","net",0
2010,"WA","bottom trawl",0.7
2010,"WA","hook and line",0
2010,"WA","midwater trawl",45.7
2010,"WA","net",0
2011,"CA","bottom trawl",1.1
2011,"CA","hook and line",0
2011,"CA","midwater trawl",0
2011,"CA","net",0
2011,"OR","bottom trawl",10
2011,"OR","hook and line",0
2011,"OR","midwater trawl",12.4
2011,"OR","net",0
2011,"WA","bottom trawl",7.2
2011,"WA","hook and line",0
2011,"WA","midwater trawl",31.5
2011,"WA","net",0
2012,"CA","bottom trawl",2.3
2012,"CA","hook and line",0.2
2012,"CA","midwater trawl",0
2012,"CA","net",0
2012,"OR","bottom trawl",27
2012,"OR","hook and line",0.1
2012,"OR","midwater trawl",5.9
2012,"OR","net",0
2012,"WA","bottom trawl",12
2012,"WA","hook and line",0
2012,"WA","midwater trawl",41.5
2012,"WA","net",0
2013,"CA","bottom trawl",4.8
2013,"CA","hook and line",0.9
2013,"CA","midwater trawl",0
2013,"CA","net",0
2013,"OR","bottom trawl",44
2013,"OR","hook and line",0.1
2013,"OR","midwater trawl",204.5
2013,"OR","net",0
2013,"WA","bottom trawl",2.4
2013,"WA","hook and line",0
2013,"WA","midwater trawl",36.6
2013,"WA","net",0
2014,"CA","bottom trawl",2.7
2014,"CA","hook and line",1.7
2014,"CA","midwater trawl",0
2014,"CA","net",0
2014,"OR","bottom trawl",46.1
2014,"OR","hook and line",0.1
2014,"OR","midwater trawl",259.7
2014,"OR","net",0
2014,"WA","bottom trawl",22.5
2014,"WA","hook and line",0
2014,"WA","midwater trawl",46.9
2014,"WA","net",0
