"YEAR","est","logse"
"2001",81.7151582239083,0.260715998304696
"2002",620.920187546983,0.229419923031767
"2003",130.713272275805,0.213452719913558
"2004",1050.31283677893,0.319880932432617
"2005",129.030918678579,0.355274097687681
"2006",1.39675763115413,0.910768139980941
"2007",4.36361157893177,0.409429203958617
"2008",109.644439400175,0.270878212443886
"2009",94.502470989095,0.232221531602471
"2010",516.219379187274,1.01583063009592
"2011",45.7681092284564,0.404049616234934
"2012",67.820781255285,1.26840640007295
"2013",11184.1295881147,1.15604847204722
"2014",2192.80605306484,0.323901781195046
"2015",1309.03802576018,0.812758357899362
"2016",1891.67738564522,0.539329553698346
"2017",53.5065057545392,0.649031151694785
"2018",31.9377191156265,0.499883175729699
"2019",36.0503951098256,0.758331704529678
"2021",155.051138510268,0.394673924348652
"2022",332.749765725758,0.376394065563007
"2023",1437.48760477929,0.36215030054689
"2024",634.117986056452,0.271614577727183
