"type","Quantity","values"
Mohn,SSB,-0.0415514688746303
Mohn,Recruitment,2.0005298077224
Mohn,Fraction unfished,-0.0563589495572133
Mohn,F,0.0261337955587015
NEFSC,SSB,0.0466757536499382
NEFSC,Recruitment,0.537318439582646
NEFSC,Fraction unfished,0.0425695914867998
NEFSC,F,-0.0761049042601326
AFSC,SSB,-0.00831029377492605
AFSC,Recruitment,0.40010596154448
AFSC,F,0.00522675911174029
AFSC,Fraction unfished,-0.0112717899114427
