"type","Quantity","values"
Mohn,SSB,-0.489159081415027
Mohn,Recruitment,3.72285255078376
Mohn,Fraction unfished,-0.466545560014445
Mohn,F,0.0453418787752926
NEFSC,SSB,0.115979089254891
NEFSC,Recruitment,1.77745641685649
NEFSC,Fraction unfished,0.1512772730237
NEFSC,F,-0.185526445460838
AFSC,SSB,-0.0489159081415027
AFSC,Recruitment,0.372285255078376
AFSC,F,0.00453418787752926
AFSC,Fraction unfished,-0.0466545560014445
