"","year","month","fleet","sex","part","Nsamp","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
"20",2017,7,1,0,1,7,0,0,0,0,0,0,0.02,0,0.01,0.4,0.47,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.4,0.47,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,7,5,0,1,1,0,0,0,0,0,0.17,0.67,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.67,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2005,7,5,0,1,3,0,0,0,0,0,0.1,0.58,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.58,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2006,7,5,0,1,5,0,0,0,0,0.02,0.12,0.27,0.25,0.2,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.12,0.27,0.25,0.2,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2007,7,5,0,1,13,0,0,0,0,0.07,0.04,0.11,0.25,0.34,0.11,0.01,0,0,0,0,0.01,0,0,0,0.01,0.02,0.02,0.01,0,0,0,0,0,0,0.07,0.04,0.11,0.25,0.34,0.11,0.01,0,0,0,0,0.01,0,0,0,0.01,0.02,0.02,0.01,0,0
"25",2008,7,5,0,1,2,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.29,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.29,0,0.57,0,0,0,0,0
"26",2009,7,5,0,1,1,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2011,7,5,0,1,3,0,0,0,0,0,0,0.17,0.17,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2012,7,5,0,1,4,0,0,0,0.07,0,0,0.07,0.52,0.19,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0.52,0.19,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2013,7,5,0,1,4,0,0,0,0,0,0.18,0.36,0,0.18,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.36,0,0.18,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2014,7,5,0,1,5,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2015,7,5,0,1,4,0,0,0,0,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0.23,0.2,0.4,0,0,0,0,0.03,0.03,0,0,0,0,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0.23,0.2,0.4,0,0,0,0,0.03,0.03
