"","year","month","fleet","sex","part","Nsamp","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
"20",2014,7,1,0,1,25,0,0,0,0,0,0.025,0.035,0,0.057,0.054,0.17,0.202,0.136,0.079,0.157,0.014,0.044,0.021,0.007,0,0,0,0,0,0,0,0,0,0,0,0.025,0.035,0,0.057,0.054,0.17,0.202,0.136,0.079,0.157,0.014,0.044,0.021,0.007,0,0,0,0,0,0
"21",2014,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"22",2015,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0.031,0.391,0.188,0.375,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.391,0.188,0.375,0,0.016,0,0,0,0,0,0,0,0,0,0
"23",2015,7,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.24,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.24,0.481,0,0,0,0,0,0
"24",2016,7,1,0,1,15,0,0,0,0,0,0,0,0.031,0.062,0.031,0.125,0.156,0.312,0,0.062,0.031,0.125,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.062,0.031,0.125,0.156,0.312,0,0.062,0.031,0.125,0.062,0,0,0,0,0,0,0
"25",2016,7,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.039,0.074,0.098,0.435,0.079,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.039,0.074,0.098,0.435,0.079,0.105
"26",2017,7,1,0,1,8,0,0,0,0,0,0,0.016,0,0.006,0.398,0.466,0.056,0.051,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.006,0.398,0.466,0.056,0.051,0,0,0,0,0,0.006,0,0,0,0,0,0
"27",2017,7,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.303,0,0.298,0.101,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.303,0,0.298,0.101,0.097,0
"28",2018,7,1,0,1,5,0,0,0,0,0,0,0,0.143,0,0,0,0.714,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0.714,0,0.143,0,0,0,0,0,0,0,0,0,0,0
"29",2018,7,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.071,0.038,0.163,0.292,0.088,0.088,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.071,0.038,0.163,0.292,0.088,0.088,0.224,0,0,0
"30",2019,7,1,0,1,17,0,0,0,0,0,0,0,0.002,0.193,0.733,0.039,0.016,0.003,0.001,0.011,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.193,0.733,0.039,0.016,0.003,0.001,0.011,0,0.001,0,0,0,0,0,0,0,0
"31",2019,7,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.375,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.375,0.125,0.125,0,0,0,0
"32",2020,7,1,0,1,19,0,0,0,0,0,0,0.004,0,0,0.083,0.14,0.272,0.204,0.09,0.068,0.043,0.048,0.043,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.083,0.14,0.272,0.204,0.09,0.068,0.043,0.048,0.043,0,0.004,0,0,0,0,0
"33",2021,7,1,0,1,19,0,0,0,0,0,0,0.056,0,0.083,0.04,0.04,0.255,0.179,0.099,0,0.079,0.109,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.083,0.04,0.04,0.255,0.179,0.099,0,0.079,0.109,0.06,0,0,0,0,0,0,0
"34",2022,7,1,0,1,16,0,0,0,0,0,0,0,0.077,0,0.038,0.135,0.188,0.223,0.146,0,0.019,0.115,0.038,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.038,0.135,0.188,0.223,0.146,0,0.019,0.115,0.038,0,0.019,0,0,0,0,0
"35",2022,7,5,0,1,7,0,0,0,0,0,0.125,0,0,0.125,0.25,0.125,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0.25,0.125,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"36",2023,7,1,0,1,24,0,0,0,0,0,0,0.011,0.011,0,0.11,0.154,0.198,0.22,0.033,0.044,0.143,0.066,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0.11,0.154,0.198,0.22,0.033,0.044,0.143,0.066,0.011,0,0,0,0,0,0,0
"37",2023,7,5,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
